TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
128,128,100.0000,128,100.0000,0,45860,25165,54.8735

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,UNE,MLP,ELEFANTE,CABAL,CAMBIO,VALOR,PODEMOS,UR,AZUL,VIVA,PPN,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21452,"Izabal",18,"Lívingston",2,3331,380,67,15,21,2,24,55,27,2,1,0,0,2,0,0,216,19,3,238,0,238,--,--,--,216,238,238,Algún campo sin dato,1,1e67cef1fda07c3adc92ab808c9b856fac07460458c0e17e24ea1d661694e30a,26/06/2023 02:30:43,ESCANER
21453,"Izabal",18,"Lívingston",2,3331,380,74,17,27,4,7,47,36,2,0,0,0,2,1,1,218,26,6,250,0,250,--,380,130,218,250,250,Algún campo sin dato,1,02a33e5c3dd0e0d663bf88f7ac2da84548619f4ee9bd9ec2bba062898294c108,26/06/2023 01:58:17,ESCANER
21454,"Izabal",18,"Lívingston",2,3331,380,62,19,31,3,18,53,28,1,0,1,0,3,1,2,222,8,3,233,0,233,--,371,138,222,233,233,Algún campo sin dato,1,1e638b5dfe98eda752e7068927af4ba32f3a26fb710fb918d19ae40b09f92da7,26/06/2023 01:43:20,ESCANER
21455,"Izabal",18,"Lívingston",2,3331,380,59,17,14,2,18,55,34,3,0,0,0,1,0,0,203,14,1,218,0,218,--,380,162,203,218,218,Algún campo sin dato,1,0e9790a0bbfb85499db63ed3ecc9fd34e52464187ca9f7ccdb4b757abdb79317,25/06/2023 23:57:41,ESCANER
21456,"Izabal",18,"Lívingston",2,3331,380,73,7,20,6,20,39,35,0,0,0,0,4,2,0,206,19,2,227,0,227,--,380,153,206,227,227,Algún campo sin dato,1,34119119ac09b2d8f5cafac55cef5d31630cf160ba40b99b044d636f74a86afc,26/06/2023 01:15:42,ESCANER
21457,"Izabal",18,"Lívingston",2,3332,380,60,16,21,5,14,49,22,0,0,0,0,2,0,0,189,19,7,215,0,215,--,380,165,189,215,215,Algún campo sin dato,1,8ac626e1df6348cd2450129d6000a724126ac4bba4f30427ca770f34327ba276,26/06/2023 00:05:54,ESCANER
21458,"Izabal",18,"Lívingston",2,3332,380,59,6,20,6,15,55,23,0,0,0,1,1,2,0,188,11,4,203,0,203,--,380,177,188,203,203,Algún campo sin dato,1,3cb940f1a40eaae7f42c3cdc75654b357dbdca176777d400026e472116df12d4,26/06/2023 00:56:08,ESCANER
21459,"Izabal",18,"Lívingston",2,3332,380,64,14,20,2,18,48,24,1,0,0,0,2,2,1,196,6,5,207,0,207,--,380,173,196,207,207,Algún campo sin dato,1,d707e1cc51105ed0a1caa16431c55ef0f8e56121668b0069237fb659d706bb28,26/06/2023 00:37:37,ESCANER
21460,"Izabal",18,"Lívingston",2,3332,380,57,11,11,2,15,44,24,1,0,0,0,0,2,0,167,4,0,171,0,171,--,380,209,167,171,171,Algún campo sin dato,1,dbe6554528183dbf759c9b9ddf5cd0a66e960d9a47a406cf4443149dbfbc2d73,25/06/2023 23:45:18,ESCANER
21461,"Izabal",18,"Lívingston",2,3332,380,48,10,16,3,12,41,28,1,0,0,0,2,1,0,162,9,1,172,0,172,--,380,208,162,172,172,Algún campo sin dato,1,1fce2957d3ab1f67418c4c34e75298502241687918614283c0d6bba4e77066ea,26/06/2023 01:06:10,ESCANER
21462,"Izabal",18,"Lívingston",2,3332,325,41,13,13,3,17,29,42,3,0,0,0,0,0,0,161,3,0,164,0,164,--,325,161,161,164,164,Algún campo sin dato,1,bfd56d9c59cff1a5974bd69b69fd40cad526f3c86c4168b78e4af289675150b1,25/06/2023 23:32:39,ESCANER
21463,"Izabal",18,"Lívingston",2,3332,325,39,10,14,1,13,37,12,2,0,0,0,3,1,1,133,8,2,143,0,143,--,325,182,133,143,143,Algún campo sin dato,1,af3de6993dc923fc90a10c03c72357fd13de3cbd6db04752ea2463ba3fb22be9,25/06/2023 22:28:03,ESCANER
21464,"Izabal",18,"Lívingston",2,3333,380,62,5,30,6,4,32,44,2,0,2,2,1,0,0,190,10,8,208,4,212,--,380,168,190,208,212,Algún campo sin dato,1,77939fd36fc36e9b04e3bb710bccdab23e60ea947f20bb3e9f22cad0e2941d6a,26/06/2023 01:04:05,ESCANER
21465,"Izabal",18,"Lívingston",2,3333,380,61,2,38,9,4,27,43,3,0,4,2,0,3,0,196,19,8,223,4,227,1,380,152,196,223,227,,1,60944e6947188e86f82c4ce2770acaf7f948161e81fb25e570dd569c4dc5c21b,26/06/2023 00:21:24,ESCANER
21466,"Izabal",18,"Lívingston",2,3333,380,52,2,57,5,7,31,45,1,1,2,1,1,0,2,207,21,5,233,0,233,--,380,147,207,233,233,Algún campo sin dato,1,2b53b1db2dc5e0b7db19d09d10c7c7442982a8352a1286a73355fd0c8516ece3,26/06/2023 01:20:46,ESCANER
21467,"Izabal",18,"Lívingston",2,3334,380,51,3,41,14,10,49,40,3,0,3,0,0,0,1,215,22,5,242,0,242,--,380,135,215,242,242,Algún campo sin dato,1,13767c61f3e139e787b646b5c0747dc501be2923629eea7eb8b845c251f4f510,26/06/2023 00:30:46,ESCANER
21468,"Izabal",18,"Lívingston",2,3334,380,55,2,24,7,15,41,29,0,1,1,1,2,3,1,182,20,17,219,0,219,--,380,161,182,219,219,Algún campo sin dato,1,34c14821339cf419b584481948568079e741d966ccb99529483d3902db5c4886,26/06/2023 01:19:36,ESCANER
21469,"Izabal",18,"Lívingston",2,3334,380,52,2,30,13,11,38,41,2,0,1,2,1,4,0,197,12,4,213,0,213,--,380,167,197,213,213,Algún campo sin dato,1,327ba323352d1cb548ff3b14f295ef0a4ca5c41a6eb58162d65101bc4e4cace9,26/06/2023 00:14:20,ESCANER
21470,"Izabal",18,"Lívingston",2,3334,380,53,3,26,6,6,39,36,1,1,2,1,1,3,0,178,10,5,193,0,193,--,380,187,178,193,193,Algún campo sin dato,1,8c0b072f95c98b7f90e662632ebab02cad5643e92e22f70bdcb203da974038e3,26/06/2023 00:41:33,ESCANER
21471,"Izabal",18,"Lívingston",2,3334,380,53,4,22,11,8,44,30,0,0,5,0,3,1,1,182,18,3,204,1,205,--,380,175,182,203,204,Sumas Asentadas sin cuadrar,1,94074a3bfaa096c25e54472527aa6b6e2793f9b37f0f6bd25ace5f33c0b2c6ff,26/06/2023 00:58:27,ESCANER
