TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
146,146,100.0000,146,100.0000,0,55528,25689,46.2631

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,U R N G - MAIZ,MLP,VALOR,UNE,PODEMOS,AZUL,WINAQ,VAMOS,BIEN,VICTORIA,CABAL,VOS,VIVA,PHG,ELEFANTE,TODOS,CAMBIO,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
16483,"Huehuetenango",13,"Barillas",26,2449,327,1,0,0,69,9,0,6,26,12,1,2,0,0,0,0,0,0,0,126,11,5,142,0,142,--,327,185,126,142,142,Algún campo sin dato,1,301b8df02906d4a7620667f04743cf4f609b92ebb421f91dada04f4479b3a1db,25/06/2023 23:09:17,ESCANER
16484,"Huehuetenango",13,"Barillas",26,2450,380,14,1,5,24,9,3,1,22,75,3,2,0,7,7,0,0,0,0,173,28,8,209,0,209,--,380,171,173,209,209,Algún campo sin dato,1,614f26db5ab61f8fffe2707cea132e260fc38cc1e84c61951d8d3cbf4cd3951e,26/06/2023 01:56:21,ESCANER
16485,"Huehuetenango",13,"Barillas",26,2450,293,5,1,5,29,2,1,1,27,47,1,2,0,19,6,0,0,0,0,147,18,5,170,0,170,--,293,123,146,169,169,Sumas Asentadas sin cuadrar,1,5c4587d8e9ef2816f3c7f25e7374c3e02b734c02688072862bd47348df0c9c94,26/06/2023 01:41:52,ESCANER
16486,"Huehuetenango",13,"Barillas",26,2450,293,3,0,4,16,7,1,0,18,69,3,2,0,3,2,0,1,0,0,129,24,5,158,--,--,--,--,--,129,158,158,Algún campo sin dato,1,2de8a94496f623dcc2e84d85452e849d5ecab1f013369c65f0b896c18880aac2,26/06/2023 00:40:13,ESCANER
16487,"Huehuetenango",13,"Barillas",26,2451,380,6,0,5,38,22,7,5,28,31,1,10,4,7,5,0,0,0,0,169,20,11,200,0,200,--,380,180,169,200,200,Algún campo sin dato,1,003f6f394e51790a806781b5af5519b4559f15d27cbcd8b921053f18603d9acf,25/06/2023 21:51:51,ESCANER
16488,"Huehuetenango",13,"Barillas",26,2451,362,9,2,3,32,13,3,3,22,37,1,9,1,3,2,0,1,0,0,141,20,10,171,0,171,--,361,190,141,171,171,Algún campo sin dato,1,5d1f210390ce7089050e16df69f841db1577aeedd80318904dd4e6d2e51e9f4f,25/06/2023 22:43:30,ESCANER
16489,"Huehuetenango",13,"Barillas",26,2451,362,5,0,2,33,21,1,2,14,32,2,14,4,4,2,0,0,0,0,136,4,4,144,0,144,--,365,221,136,144,144,Algún campo sin dato,1,6cabdf4decec71af99891625701c37f30a799f3fa0fc65c68c375cddc04eea7d,25/06/2023 22:43:58,ESCANER
16490,"Huehuetenango",13,"Barillas",26,2452,600,3,2,2,16,5,0,10,22,16,2,4,2,2,8,0,0,0,0,94,8,6,108,0,108,--,599,491,94,108,108,Algún campo sin dato,1,2ba32b964352bdd00c697cdb75dce61ac56ba6859b4ae916fb9e9aa5e431d032,25/06/2023 23:45:52,ESCANER
16491,"Huehuetenango",13,"Barillas",26,2452,600,8,2,4,25,2,1,5,29,25,3,0,2,2,4,0,0,0,0,112,10,0,122,0,122,--,600,478,112,122,122,Algún campo sin dato,1,c877885cedbd09f06bf147fbf5e5c04c5f24134afabddde37bc131c67a810fbf,25/06/2023 23:46:12,ESCANER
16492,"Huehuetenango",13,"Barillas",26,2453,413,2,2,3,11,2,0,3,11,8,1,3,1,1,4,0,0,0,0,52,1,1,54,0,54,--,413,359,52,54,54,Algún campo sin dato,1,e0451b4092b1c7c70587ce0405558f241e8693ae4bed9231c92e9d77576cdc0b,25/06/2023 21:19:13,ESCANER
16493,"Huehuetenango",13,"Barillas",26,2453,413,3,1,0,4,1,0,2,4,3,1,0,1,0,2,0,0,1,0,23,2,1,26,0,26,--,413,387,23,26,26,Algún campo sin dato,1,54584fae52fd269ea760790c87415bf055304c94067dbcf9985f4ab407b011a8,25/06/2023 21:26:00,ESCANER
