TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
62,62,100.0000,62,100.0000,0,23084,11898,51.5421

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,UNE,VAMOS,TODOS,BIEN,PPN,MI FAMILIA,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9027,"Santa Rosa",6,"Nueva Santa Rosa",14,1099,380,69,46,85,1,1,0,0,2,9,213,7,3,223,0,223,--,380,157,213,223,223,Algún campo sin dato,1,d7bbc37be37311c279ae52725ff8ec2762d6bc67d667abc657b35b4d7b9305c2,25/06/2023 21:55:29,ESCANER
9028,"Santa Rosa",6,"Nueva Santa Rosa",14,1099,380,76,57,66,1,1,0,0,0,8,209,12,6,227,0,227,--,380,153,209,227,227,Algún campo sin dato,1,ec9a2ecb46e2b225988e654d8ea42d2dab25c66e5cf14faa02eca06d3b67e1d2,25/06/2023 22:41:08,ESCANER
9029,"Santa Rosa",6,"Nueva Santa Rosa",14,1100,380,75,49,74,0,4,1,0,1,7,211,14,2,227,0,227,--,380,153,211,227,227,Algún campo sin dato,1,b36df860b12f251e109b701b46c154f0a2605e2eca612585aa4c73d46160097a,25/06/2023 23:59:15,ESCANER
9030,"Santa Rosa",6,"Nueva Santa Rosa",14,1100,380,73,46,69,--,3,--,--,1,6,198,10,0,208,0,208,1,380,171,198,208,208,Algún campo sin dato,1,a50a282546fd35fb7907f07c736e9e76df773b81dd82b8c6bed743240d965362,26/06/2023 02:03:22,ESCANER
9031,"Santa Rosa",6,"Nueva Santa Rosa",14,1100,332,55,48,61,0,2,1,0,0,11,178,3,0,181,0,181,--,329,149,178,181,181,Algún campo sin dato,1,6ae1324eeef8da4860959c91155e9548ee0ece97e39b82033cca45539d6a1147,26/06/2023 02:09:44,ESCANER
9032,"Santa Rosa",6,"Nueva Santa Rosa",14,1100,331,55,34,57,0,1,1,0,0,9,157,4,2,163,0,163,--,331,168,157,163,163,Algún campo sin dato,1,bc67b341f699c16d0a618c07051df4c63fc77da2e0d004f897b8a902abc711c8,25/06/2023 22:51:44,ESCANER
9033,"Santa Rosa",6,"Nueva Santa Rosa",14,1101,380,79,31,57,11,3,1,2,2,8,194,27,7,228,0,228,--,380,152,194,228,228,Algún campo sin dato,1,d6399c3bb8a9f854edcbf1c8b3e5ec99686de4c689ba89cc6e312c82574c2f50,25/06/2023 21:37:34,ESCANER
9034,"Santa Rosa",6,"Nueva Santa Rosa",14,1101,380,75,33,77,11,1,0,0,1,8,206,31,3,240,0,240,--,380,140,206,240,240,Algún campo sin dato,1,74b4d63a6a64c9e146387d38f5c829c7426f87db0b6c5b9410fd80d7eb126a40,25/06/2023 23:35:28,ESCANER
9035,"Santa Rosa",6,"Nueva Santa Rosa",14,1101,380,92,22,58,12,1,1,1,3,7,197,35,4,236,0,236,--,380,144,197,236,236,Algún campo sin dato,1,5ed0984dc3f4a7f668788ec0edb705666ff93b94a5ac42cc2c372c14909f1ced,26/06/2023 00:05:19,ESCANER
9036,"Santa Rosa",6,"Nueva Santa Rosa",14,1101,380,81,24,56,8,0,0,2,1,1,173,20,2,195,0,195,--,380,185,173,195,195,Algún campo sin dato,1,2edf0eafd771295d89063349fbbb02b69749d6d0b8317fdaf0a827718f51bda3,26/06/2023 00:47:39,ESCANER
9037,"Santa Rosa",6,"Nueva Santa Rosa",14,1101,256,42,15,39,5,0,0,0,0,4,105,12,3,120,0,120,--,256,136,105,120,120,Algún campo sin dato,1,984f5e802aca092220bc20ad355a94c5fef6a73606666d04753680afde23a4f9,25/06/2023 22:36:48,ESCANER
9038,"Santa Rosa",6,"Nueva Santa Rosa",14,1101,255,30,19,21,10,0,0,1,0,6,87,5,1,93,0,93,--,255,162,87,93,93,Algún campo sin dato,1,70af1cc20832316a834a5cbf9c302bd8594a6771a4ddafe0f66209a47609f9a6,25/06/2023 21:43:33,ESCANER
9039,"Santa Rosa",6,"Nueva Santa Rosa",14,1102,600,67,26,28,1,1,2,0,3,8,136,10,4,150,0,150,--,604,454,136,150,150,Algún campo sin dato,1,e4f51b8093d9f47da2fc7ef7f48c0356154d928c9f9071259d58615741e82fa8,25/06/2023 23:17:42,ESCANER
9040,"Santa Rosa",6,"Nueva Santa Rosa",14,1102,600,54,19,17,2,0,1,0,2,4,99,8,1,108,0,600,--,600,492,99,108,108,Sumas Asentadas sin cuadrar,1,5cf56531a3ebe8084732d15c441a05f4142c64c3dbfc75b541b205f9ffbd0d99,26/06/2023 00:49:11,ESCANER
9041,"Santa Rosa",6,"Nueva Santa Rosa",14,1102,508,30,9,8,3,0,0,0,1,2,53,3,2,58,0,58,--,509,451,53,58,58,Algún campo sin dato,1,caea8de92307d7cfdc7a4a66a0557fb291b6cc504a66bc3c157cf0fe2e1b7c5b,26/06/2023 01:20:41,ESCANER
9042,"Santa Rosa",6,"Nueva Santa Rosa",14,1102,508,13,2,7,1,--,1,--,1,2,27,1,0,28,0,28,--,512,484,27,28,28,Algún campo sin dato,1,530f4fb9ed2885860de4df4b0e926144c3f4ef1da2d09fa6ed1f0f204534b8e5,25/06/2023 21:11:23,ESCANER
