TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
62,62,100.0000,61,98.3870,1,22948,16369,71.3308

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,FCN-NACION,VAMOS,VIVA,CABAL,ELEFANTE,SEMILLA,PPN,P A N,TODOS,VALOR,PHG,VICTORIA,BIEN,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20264,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3151,380,103,3,58,3,2,3,3,40,13,0,3,37,2,1,0,271,24,20,315,0,315,--,380,65,271,315,315,Algún campo sin dato,1,d626e924a8360ad94e8c16d10e31c0e97b33172abd71be62586dffda0d2d0463,26/06/2023 04:15:16,ESCANER
20265,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3151,380,93,4,58,7,0,1,10,31,18,0,4,38,0,0,0,264,20,5,289,0,289,--,380,91,264,289,289,Algún campo sin dato,1,14c54a3f1a5cc30894363bb3490dbc6671c5aee38f2d6d32c5a1ce4aceba7e5e,26/06/2023 04:39:08,ESCANER
20266,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3151,380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta ilegible,0,ecb2dde317520dffbdb182ef872611ca8e68c6782e7a687aa5b9eacdb2345a94,26/06/2023 04:52:56,ESCANER
20267,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3151,380,88,1,55,0,1,0,4,23,10,0,3,45,0,0,0,231,14,3,248,0,0,--,380,132,230,247,247,Sumas Asentadas sin cuadrar,1,d079b5b752c70ba0cb8bce1a37cf9f7915ed9e39e34a2a241d04bdd067d06ea5,26/06/2023 04:57:13,ESCANER
20268,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3151,380,99,8,43,10,1,1,8,20,20,1,2,34,5,0,0,252,27,1,280,0,280,--,380,100,252,280,280,Algún campo sin dato,1,eb78f2133044774bba2a717ff81959dfa4c2055d52754065244ae74a5bfe3722,26/06/2023 04:32:02,ESCANER
20269,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3151,380,97,7,51,3,4,3,8,25,9,0,7,43,2,0,0,259,26,10,295,0,295,--,380,85,259,295,295,Algún campo sin dato,1,46d3cff5e80a8059afdabaa4c1e64bca12aaa671b9de6409f4448e20792a53f2,26/06/2023 04:45:44,ESCANER
20270,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3151,380,81,5,38,4,1,1,4,23,14,0,1,39,1,0,2,214,33,7,254,1,255,--,380,125,214,254,255,Algún campo sin dato,1,049de3a6ee0b58c02c19394eebf79e75fd1ece40db93bb10685a717c6aaa79d4,26/06/2023 02:11:12,ESCANER
20271,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3151,380,80,3,42,5,2,1,3,26,20,0,0,42,1,0,0,225,7,5,237,0,237,--,380,143,225,237,237,Algún campo sin dato,1,6e6ace82849df800efd4645a7061a3822909d921748d34829064bc8c3ce0681f,26/06/2023 04:25:53,ESCANER
20272,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3151,329,67,3,36,1,1,0,4,22,11,0,1,38,1,0,0,185,6,4,195,0,195,--,329,134,185,195,195,Algún campo sin dato,1,d5666a788d9286cd81a53758561e61fe3ff7903d529eda9a2359f25ea9d11d64,26/06/2023 04:23:16,ESCANER
20273,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3151,328,63,3,37,5,1,0,3,18,8,0,0,30,1,0,0,169,4,7,180,0,180,--,328,148,169,180,180,Algún campo sin dato,1,1aa41e341ec885b4d34f07dd34db419289bae42d1f82a4f5c11b8ae242592340,26/06/2023 00:09:02,ESCANER
20274,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3152,380,74,2,61,7,3,1,3,74,14,0,2,13,0,1,0,255,28,1,284,0,284,--,380,--,255,284,284,Algún campo sin dato,1,e98afd6c335f0acf0796e2dda563408bc7a25b16572ffbd80c582848176cc870,26/06/2023 05:19:20,ESCANER
20275,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3152,380,84,2,66,8,3,0,1,78,6,0,1,11,3,1,0,264,21,1,286,0,286,--,380,94,264,286,286,Algún campo sin dato,1,a360d3c3eea99c0914e64b86165cacc7d2f299ab49ee35e5843eb1729b0b92aa,26/06/2023 03:58:02,ESCANER
20276,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3152,380,77,1,81,5,1,0,3,81,12,0,6,10,2,0,1,280,19,1,300,0,300,--,376,76,280,300,300,Algún campo sin dato,1,ea17178cf6e4582e3b8531572f607d21d9f63f91c0aceb2855a5db57e0d1ad19,26/06/2023 03:41:12,ESCANER
20277,"Alta Verapaz",16,"Santa Catalina La Tinta",16,3152,380,108,0,59,6,2,0,4,61,15,0,6,16,1,0,1,279,23,4,306,0,306,--,380,74,279,306,306,Algún campo sin dato,1,72e5f5b620dcff0d9053b2b383186d70829cafccefff07f21a08f967d2b8d479,26/06/2023 05:24:22,ESCANER
