TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
59,59,100.0000,59,100.0000,0,22202,13744,61.9043

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,VAMOS,AZUL,VIVA,VICTORIA,PPN,PR,VOS,UNE,VALOR,TODOS,PODEMOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12345,"Suchitepéquez",10,"Patulul",14,1678,400,29,1,66,2,48,3,29,8,22,32,2,1,7,250,11,1,262,0,262,--,399,137,250,262,262,Algún campo sin dato,1,a5d7ee6f21abca204b49fa0536f5aa2159e7d66a5bf81da257293740d4dda9e8,26/06/2023 01:01:04,ESCANER
12346,"Suchitepéquez",10,"Patulul",14,1678,400,17,1,64,1,49,14,22,5,18,35,3,0,7,236,6,0,242,0,242,--,398,156,236,242,242,Algún campo sin dato,1,6ffee5c0c0f23a380f7d8832104f6c522ffc200107135e09f5e6d85fb45262a8,26/06/2023 01:15:06,ESCANER
12347,"Suchitepéquez",10,"Patulul",14,1678,400,18,1,74,1,52,8,33,14,15,30,3,2,3,254,6,0,260,0,260,--,400,140,254,260,260,Algún campo sin dato,1,d345ef3ba4302407fe8ff6d9a56f38364683f965a855715dd35147ab9dc912d7,25/06/2023 22:40:28,ESCANER
12348,"Suchitepéquez",10,"Patulul",14,1678,400,21,1,73,2,42,6,36,10,27,27,4,0,7,256,2,0,258,0,258,--,400,142,256,258,258,Algún campo sin dato,1,030e57062761de14eb8a52aef8571eb73b22e33d6d7a8dbe95802027c3008391,25/06/2023 23:52:24,ESCANER
12349,"Suchitepéquez",10,"Patulul",14,1678,220,7,3,32,0,23,3,16,4,6,13,1,3,1,112,6,2,120,0,120,--,--,--,112,120,120,Algún campo sin dato,1,a7550d770119610276d82a669d9a5def51a90e2597cd2427c52c943e32b88985,25/06/2023 23:04:22,ESCANER
12350,"Suchitepéquez",10,"Patulul",14,1678,220,4,1,26,2,21,7,15,1,6,22,4,0,5,114,3,1,118,0,118,--,220,102,114,118,118,Algún campo sin dato,1,6bd06adc674901a4f35a702f7dd0f4fd693b67fa56b21e23b22eb7880a2b1cd0,25/06/2023 22:11:37,ESCANER
12351,"Suchitepéquez",10,"Patulul",14,1679,400,20,1,69,1,47,35,19,3,15,41,5,0,8,264,22,5,291,1,292,--,400,108,264,291,292,Algún campo sin dato,1,94cb03ca414539ba00b90d666ed1c1eb461bc3efe675c13adca2919b1e1041f9,25/06/2023 22:56:17,ESCANER
12352,"Suchitepéquez",10,"Patulul",14,1679,400,17,4,85,3,47,22,21,2,15,29,10,0,4,259,19,8,286,0,0,--,397,111,259,286,286,Algún campo sin dato,1,a9053f2f1b74ea4ca675b34ce9010b9ad641e9c407284ce9b2286cb939b8f3d8,26/06/2023 01:20:29,ESCANER
12353,"Suchitepéquez",10,"Patulul",14,1680,400,16,3,72,2,54,17,13,2,36,32,6,1,6,260,18,1,279,0,279,--,400,121,260,279,279,Algún campo sin dato,1,9fe1b32c83eb4a8c235bb866b8ed39327352d67acb75239e3bb0ad16bcee6796,25/06/2023 23:44:56,ESCANER
12354,"Suchitepéquez",10,"Patulul",14,1680,400,22,6,67,1,59,17,25,4,16,33,5,0,8,263,30,1,294,0,294,--,400,107,263,294,294,Algún campo sin dato,1,5c0c7ff19c0f6778d64fdf710ba2c582095017b235a4e33c6b40f4d7ac0939da,25/06/2023 23:51:09,ESCANER
12355,"Suchitepéquez",10,"Patulul",14,1680,400,21,1,83,3,57,20,35,2,23,36,6,1,4,292,21,8,321,0,321,--,400,79,292,321,321,Algún campo sin dato,1,8d1e97819bee8483fc4f41e815c5ba084de6d587f86c396e062a7c26e7bc9a04,26/06/2023 00:34:52,ESCANER
12356,"Suchitepéquez",10,"Patulul",14,1680,400,14,1,70,1,50,26,32,3,26,33,10,0,4,270,23,3,296,0,296,--,400,104,270,296,296,Algún campo sin dato,1,8b5d1219a9d6e59afb06c29c2a306a33ac1d65480843f337c0ad2b54de68292f,25/06/2023 23:54:33,ESCANER
12357,"Suchitepéquez",10,"Patulul",14,1680,400,17,1,69,2,38,17,16,4,19,42,9,0,6,240,34,9,283,0,283,--,400,117,240,283,283,Algún campo sin dato,1,1111ea334267b6204f8d4e8edae458f386ded8a90d17c09868419dd4569debd5,25/06/2023 22:35:37,ESCANER
12358,"Suchitepéquez",10,"Patulul",14,1680,400,16,5,79,1,46,18,14,6,21,32,4,1,8,250,23,8,281,1,282,1,400,118,251,282,283,Sumas Asentadas sin cuadrar,1,eb1861862fc53acb99883d5ee1de97b02de7f0211064377e5cf7fd4f8adb7424,26/06/2023 00:19:43,ESCANER
12359,"Suchitepéquez",10,"Patulul",14,1681,400,12,2,30,2,53,18,30,4,26,44,4,1,6,275,22,6,303,0,303,--,400,97,232,260,260,Sumas Asentadas sin cuadrar,1,d4cdcff3bdb63b05d62fc591321ec607109928f723691549f7101a0214fda0d7,26/06/2023 02:13:17,ESCANER
12360,"Suchitepéquez",10,"Patulul",14,1681,400,22,3,74,4,51,14,17,4,23,25,4,0,5,246,10,3,259,0,259,--,400,141,246,259,259,Algún campo sin dato,1,0216a7ac6ac7714b0b9ef0d085cddce0c0699da50f5a3b2e8bca4bb02765d345,26/06/2023 01:10:37,ESCANER
12361,"Suchitepéquez",10,"Patulul",14,1681,400,23,2,69,0,60,19,17,3,25,32,4,0,4,258,7,2,267,0,267,--,400,133,258,267,267,Algún campo sin dato,1,33cd3d6a9cf00fba6559cf4db2d90ce1c94b2142c5b8de77e265735b2f1efa71,26/06/2023 01:21:40,ESCANER
12362,"Suchitepéquez",10,"Patulul",14,1681,400,24,3,64,1,45,21,15,2,28,29,3,1,6,242,14,12,268,0,268,--,400,132,242,268,268,Algún campo sin dato,1,1d4b0a9750f3006f647d958cf2dc8eb3e00393044e095285925785c3b9aa9564,25/06/2023 23:51:36,ESCANER
12363,"Suchitepéquez",10,"Patulul",14,1681,400,17,0,47,0,63,32,22,2,25,37,4,1,6,256,10,6,272,0,272,--,400,128,256,272,272,Algún campo sin dato,1,eabebafd5d96cf4a7b3a9a7edc3a38ee038986a9d1d6e4e11672ac9b6fcb0056,25/06/2023 23:42:52,ESCANER
