TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
86,86,100.0000,86,100.0000,0,31196,19405,62.2034

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,TODOS,VIVA,VAMOS,UNE,MLP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17877,"Quiché",14,"Sacapulas",16,2723,380,86,0,3,152,2,0,243,8,4,255,0,255,--,380,125,243,255,255,Algún campo sin dato,1,b1fc8b3715223fc73326331fc3ac4ba9fe2bff990f03ad791f7fd4a0adc14972,26/06/2023 00:33:28,ESCANER
17878,"Quiché",14,"Sacapulas",16,2723,380,101,2,2,108,0,0,212,14,3,229,0,229,--,380,151,213,230,230,Sumas Asentadas sin cuadrar,1,f55fb065e107d34afc43f7c657c85caa6a930ce3d1307c9da7600eecf93381fd,25/06/2023 23:43:03,ESCANER
17879,"Quiché",14,"Sacapulas",16,2723,380,122,0,4,110,1,1,238,5,7,250,0,250,0,380,130,238,250,250,,1,48529c7c32f2856b78b42aa9d883830f04c80bac41e5e69e1aa0b07acb6e3a3d,25/06/2023 22:57:03,ESCANER
17880,"Quiché",14,"Sacapulas",16,2723,380,117,0,5,122,3,1,249,13,10,272,0,272,0,380,108,248,271,271,Sumas Asentadas sin cuadrar,1,f0919684bdc17b441410c0b64b79d3f8b6c4de7f2847feb42da7722bc3651703,26/06/2023 00:32:45,ESCANER
17881,"Quiché",14,"Sacapulas",16,2723,380,98,1,7,109,0,0,215,7,6,228,0,228,--,380,152,215,228,228,Algún campo sin dato,1,9f70010d73d35be4c9ed4e1cf13154f8df44f9dfd9f62273aac77f343c186ce9,25/06/2023 22:19:28,ESCANER
17882,"Quiché",14,"Sacapulas",16,2723,380,128,0,4,115,1,0,248,3,2,253,0,253,--,380,127,248,253,253,Algún campo sin dato,1,4ac2f38bbcfce7c4fbcb001fd3220d17b9ad2247225e9b68b464936c6a6451bd,25/06/2023 22:31:27,ESCANER
17883,"Quiché",14,"Sacapulas",16,2723,380,116,0,6,107,1,0,230,4,2,236,0,--,--,380,144,230,236,236,Algún campo sin dato,1,76c29a13da93a1cdd6599ceca7c1dde74c6588c05075f1cfc286dcd5bf6491f7,25/06/2023 22:10:25,ESCANER
17884,"Quiché",14,"Sacapulas",16,2723,200,63,0,2,59,0,0,124,1,1,126,0,126,0,200,74,124,126,126,,1,72460dfa79217542b5149f4fbd5fd34be0e349b381dac418cc44936fa9c59a3d,25/06/2023 21:38:31,ESCANER
17885,"Quiché",14,"Sacapulas",16,2723,199,52,0,2,66,0,0,120,5,3,128,0,128,--,199,71,120,128,128,Algún campo sin dato,1,3af9183d59fc9c8fdceeea8dc786f0262b3e5ffce08eee88132a70eb2e8d4949,26/06/2023 00:28:29,ESCANER
17886,"Quiché",14,"Sacapulas",16,2724,380,114,0,4,101,3,0,222,14,4,240,0,240,0,380,140,222,240,240,,1,791cb003eebe14baa086ce970d057f7b2dd909c2811e2f05e45f93beb73b80c4,25/06/2023 23:07:05,ESCANER
17887,"Quiché",14,"Sacapulas",16,2724,380,141,1,10,86,1,0,239,6,9,254,--,--,--,380,126,239,254,254,Algún campo sin dato,1,061e5ce6f4a7aef01dc70c038b8ef158edbc3aa36c7017bf4aa94c02b14c85e1,25/06/2023 22:36:25,ESCANER
17888,"Quiché",14,"Sacapulas",16,2724,380,121,0,1,62,1,0,185,7,6,198,--,--,--,380,182,185,198,198,Algún campo sin dato,1,88158094a45054ca2e42ae9e935a84b41b3a6366ea17bc78216194b1e581df23,26/06/2023 00:16:15,ESCANER
17889,"Quiché",14,"Sacapulas",16,2724,197,70,0,1,36,1,0,108,1,0,109,--,--,--,197,88,108,109,109,Algún campo sin dato,1,49c2f952a7b5b9ddfbcb06f56ab0afdfce091700c346faeb7797f97acc02542a,25/06/2023 21:11:32,ESCANER
17890,"Quiché",14,"Sacapulas",16,2724,197,65,0,1,41,0,0,107,0,3,110,0,110,--,197,87,107,110,110,Algún campo sin dato,1,5f098b5419c502fb176c27437ca5fea04b28ba1d9d8a3b055d38c93c89cb075d,25/06/2023 20:48:18,ESCANER
17891,"Quiché",14,"Sacapulas",16,2725,380,118,1,2,163,1,0,285,9,4,298,0,298,0,380,82,285,298,298,,1,5666974908ba97c733cd1deb89f6ab8af9252d8ad0cf695c98570f69eee1bb61,25/06/2023 23:31:16,MOVIL
17892,"Quiché",14,"Sacapulas",16,2725,358,87,0,1,143,4,1,236,2,5,243,0,243,--,358,115,236,243,243,Algún campo sin dato,1,1fd329d313e94b67ff82dd1cf83f6804c5df26a76d3f762b7068ed5dc4c83134,26/06/2023 01:03:39,MOVIL
17893,"Quiché",14,"Sacapulas",16,2725,358,87,0,1,148,1,0,237,1,2,240,0,240,0,358,118,237,240,240,,1,f42f42a5dadb7148f7e20bb2b0fa7802e819640f4d769b07cb502e531a5bc39a,26/06/2023 01:03:55,MOVIL
17894,"Quiché",14,"Sacapulas",16,2726,598,15,1,2,55,1,0,74,1,2,77,0,77,--,598,521,74,77,77,Algún campo sin dato,1,4c961325e008f2a377a32beef64b58b1376abaf54fa5c09b31c940d2046af6ca,25/06/2023 21:33:57,ESCANER
