TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
84,84,100.0000,84,100.0000,0,32472,19271,59.3465

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VIVA,CABAL,VAMOS,WINAQ,PHG,VOS,LA PAPA,CREO,MLP,UNE,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10971,"Quetzaltenango",9,"Ostuncalco",9,1466,380,85,1,26,8,0,3,3,33,0,0,5,2,7,173,10,1,184,11,184,--,380,196,173,184,195,Sumas Asentadas sin cuadrar,1,986bed0f8f24ca311649495ba51c743d7cf504c4a32c7b7a02646060e3f0cdba,26/06/2023 00:46:56,ESCANER
10972,"Quetzaltenango",9,"Ostuncalco",9,1466,380,83,2,27,6,0,6,5,49,1,1,1,0,8,189,16,9,214,0,214,--,380,166,189,214,214,Algún campo sin dato,1,c87c10ab217e4c390bd1e6ae3fd81c5f530bfac3ee1324a348788eb08b2d33b2,26/06/2023 01:04:11,ESCANER
10973,"Quetzaltenango",9,"Ostuncalco",9,1466,380,85,1,28,9,1,2,10,46,1,0,3,0,9,195,10,7,212,0,212,--,380,165,195,212,212,Algún campo sin dato,1,2fb5b60235919964e3538ab71d98166a48ed653bbc2e71047a39f4a4dcebc514,26/06/2023 01:05:39,ESCANER
10974,"Quetzaltenango",9,"Ostuncalco",9,1466,380,84,1,40,12,0,2,7,38,2,0,6,0,6,198,8,7,213,0,213,--,380,167,198,213,213,Algún campo sin dato,1,6f8b09fed5d9dbe62cfdbde67da7537a8caa3028a3e04df799a766c92770beb1,25/06/2023 23:01:07,ESCANER
10975,"Quetzaltenango",9,"Ostuncalco",9,1466,380,73,1,28,9,4,2,5,30,0,0,0,1,2,155,10,6,171,209,380,--,380,209,155,171,380,Algún campo sin dato,1,ac823d7aebead283a35df60dafe1cfaca391551823467f67922abefeccbf7e62,26/06/2023 00:28:41,ESCANER
10976,"Quetzaltenango",9,"Ostuncalco",9,1466,380,66,0,38,5,2,2,10,31,0,1,2,3,7,168,5,0,173,0,173,--,380,207,167,172,172,Sumas Asentadas sin cuadrar,1,ad0483bf28177c41538fece7d32a12703e5cf90b785121880224fe738edcdf6d,25/06/2023 23:25:23,ESCANER
10977,"Quetzaltenango",9,"Ostuncalco",9,1466,380,104,0,39,5,0,2,6,20,0,0,1,0,7,184,4,0,188,0,188,--,380,192,184,188,188,Algún campo sin dato,1,9ebce86045916644aa18a004175b42141111927c911bb076bc5cdd39349a5e28,25/06/2023 23:33:40,ESCANER
10978,"Quetzaltenango",9,"Ostuncalco",9,1466,374,85,0,35,5,0,0,2,30,1,0,2,2,6,168,1,1,170,0,170,--,374,204,168,170,170,Algún campo sin dato,1,afad9989497788b70d270281e7414f5105790fa5e4dbfeed08facc0ab453a67c,25/06/2023 22:03:14,ESCANER
10979,"Quetzaltenango",9,"Ostuncalco",9,1466,374,95,0,24,6,2,1,3,30,0,0,3,0,1,165,4,9,178,--,--,--,374,196,165,178,178,Algún campo sin dato,1,136a6fc5d517abe65f33b879bcb44255330bae8eeb553599c87ac88f9c8d83eb,25/06/2023 22:39:37,ESCANER
10980,"Quetzaltenango",9,"Ostuncalco",9,1467,380,81,9,60,27,5,7,14,11,8,0,2,4,4,232,20,11,263,0,263,--,380,117,232,263,263,Algún campo sin dato,1,7a87514045ab664c187b8024e68db340bdad22d70957bd7a555fd80f937c2e29,25/06/2023 23:04:42,ESCANER
10981,"Quetzaltenango",9,"Ostuncalco",9,1467,380,77,5,73,23,1,11,10,9,7,2,5,0,1,234,32,14,280,0,280,--,380,100,224,270,270,Sumas Asentadas sin cuadrar,1,e252c3d80ac96661217b3793a3e8e8ca3c85c6c749cbb0258bf6783b945a6ecc,26/06/2023 01:58:45,ESCANER
10982,"Quetzaltenango",9,"Ostuncalco",9,1467,380,76,4,77,27,4,10,9,11,9,2,1,2,10,242,19,14,275,0,275,--,377,102,242,275,275,Algún campo sin dato,1,7ca3836fd672cc683c19d02eca64376207cf70fe8ee716e92e48b9aca27c5338,26/06/2023 01:46:55,ESCANER
10983,"Quetzaltenango",9,"Ostuncalco",9,1467,380,72,7,78,37,3,12,8,7,6,1,4,1,9,245,17,16,278,0,278,--,377,99,245,278,278,Algún campo sin dato,1,9b0874d1e8618bbefafd25fdbc02a0f1309744de642d0e003d0fd349cb81e515,26/06/2023 00:04:11,ESCANER
10984,"Quetzaltenango",9,"Ostuncalco",9,1467,380,80,3,86,19,4,9,12,12,4,2,0,0,9,240,16,15,376,0,376,1,377,105,240,271,271,Sumas Asentadas sin cuadrar,1,06bea51d1a28d4bbd6843d90ddccea4ea0427f5420f4b5a30451e1ba886a19d6,26/06/2023 02:12:36,ESCANER
10985,"Quetzaltenango",9,"Ostuncalco",9,1467,380,89,1,78,28,2,7,9,16,7,4,3,1,8,253,16,22,291,0,291,--,380,89,253,291,291,Algún campo sin dato,1,9ab4238d891a86cf3a684ed7158841f6df6675a438c556c2ed783a530ac3a766,26/06/2023 01:20:37,ESCANER
10986,"Quetzaltenango",9,"Ostuncalco",9,1467,380,75,3,75,18,3,11,6,10,6,2,3,1,7,220,12,5,237,0,237,--,380,143,220,237,237,Algún campo sin dato,1,120af43097f03c86a0f0cd1d42cb5a105f1e708ac80ee449ac08820a250fb2dc,26/06/2023 00:45:47,ESCANER
10987,"Quetzaltenango",9,"Ostuncalco",9,1467,380,54,5,79,32,3,5,9,11,6,0,2,5,7,218,12,5,235,0,235,1,377,141,218,235,235,,1,7009a9dca0a3964f22f1831c21b8958347a9f337be1a4c9aa5065bcf0c800877,26/06/2023 01:54:18,ESCANER
10988,"Quetzaltenango",9,"Ostuncalco",9,1467,380,77,4,62,31,2,14,7,9,9,3,3,1,7,229,15,9,253,0,253,--,378,125,229,253,253,Algún campo sin dato,1,d50251e902ec0caa761575fc8b9b737d46aac71aae5839c18be2a2b71c7c815d,26/06/2023 01:38:54,ESCANER
10989,"Quetzaltenango",9,"Ostuncalco",9,1467,380,65,3,51,35,4,12,9,20,7,3,3,1,11,224,20,6,250,0,250,--,380,130,224,250,250,Algún campo sin dato,1,2d41baf14754e04c0ca4c17fd556c799c1bfb694fb0834d965e33a42dd0156cb,26/06/2023 01:08:28,ESCANER
10990,"Quetzaltenango",9,"Ostuncalco",9,1467,380,71,4,55,25,3,10,10,6,3,0,1,3,3,194,3,6,9,0,0,--,377,174,194,203,203,Sumas Asentadas sin cuadrar,1,4547fd4e44246c81551e61ccd0ced3a2c3761165ffff1bb1937ee3719775a4d7,26/06/2023 01:49:11,ESCANER
10991,"Quetzaltenango",9,"Ostuncalco",9,1467,380,79,2,75,11,2,15,3,12,11,1,0,5,6,222,2,0,224,0,224,--,380,156,222,224,224,Algún campo sin dato,1,68f9cf9733251e58860bd7bce94d5ccc73bcfb82ecc157d156dc915a6567a4da,25/06/2023 22:55:55,ESCANER
10992,"Quetzaltenango",9,"Ostuncalco",9,1467,380,69,1,74,17,6,20,13,6,4,2,0,5,4,221,1,0,222,0,222,--,--,--,221,222,222,Algún campo sin dato,1,fc3102635ad699748ac6458139d3b86ef1ff10c80fec1d0fd592ac09a4c2a999,25/06/2023 23:16:58,ESCANER
10993,"Quetzaltenango",9,"Ostuncalco",9,1467,226,41,5,34,12,3,7,6,8,0,3,6,0,5,130,3,0,133,1,134,--,226,89,130,133,134,Algún campo sin dato,1,86257d97a2eebf02244d01e37b0a74c4aa1e008dbbcc05efe221062e054ad916,26/06/2023 01:31:51,ESCANER
10994,"Quetzaltenango",9,"Ostuncalco",9,1467,225,44,1,30,16,2,5,5,4,0,2,1,0,5,115,4,4,123,3,126,--,225,99,115,123,126,Algún campo sin dato,1,eb9346343ae559d443453b354fc0920b38d2d87056d2f7b4d4cf04947802e7fe,26/06/2023 01:36:59,ESCANER
10995,"Quetzaltenango",9,"Ostuncalco",9,1468,380,39,2,85,25,4,15,3,3,5,2,3,0,40,226,17,13,256,0,256,--,380,124,226,256,256,Algún campo sin dato,1,674848e26840cdc4304ef0aa839a0f0edbfc5e572c4dbb7ff5dbfbc852c959f2,26/06/2023 01:26:29,ESCANER
