TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,95,97.9381,2,36309,22010,60.6185

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,UNE,AZUL,VIVA,PPN,TODOS,P A N,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8460,"Santa Rosa",6,"Barberena",2,993,380,89,10,24,1,3,2,2,0,76,207,35,1,243,0,243,--,380,137,207,243,243,Algún campo sin dato,1,3fedfbefc1b596eb743ac9a6c9f5f21b02f8352c451afec7265f7d4d49f17e48,25/06/2023 23:58:02,ESCANER
8461,"Santa Rosa",6,"Barberena",2,993,380,86,9,21,1,5,2,1,0,76,223,22,0,245,--,--,--,380,155,201,223,223,Sumas Asentadas sin cuadrar,1,fd97e175c55a650084625ffea967caa555c933c07d3cbe03924f5f5fe62784a8,26/06/2023 00:39:44,ESCANER
8462,"Santa Rosa",6,"Barberena",2,993,380,96,11,23,2,6,0,4,1,67,210,43,9,262,0,262,--,380,118,210,262,262,Algún campo sin dato,1,2877bfbfec7f5f41579e35e9d5fef2c8c6ec6edfdb99358115e3bf1b6bf92bbd,25/06/2023 23:42:43,ESCANER
8463,"Santa Rosa",6,"Barberena",2,993,380,102,7,30,0,2,2,2,0,61,206,43,15,264,0,264,--,380,116,206,264,264,Algún campo sin dato,1,00d381c5c38fbee20202f3ff99acd7bb2c4fc19c68f7a34c006d2213af5b9ef2,25/06/2023 23:34:46,ESCANER
8464,"Santa Rosa",6,"Barberena",2,993,380,87,19,28,1,10,2,2,2,71,222,53,5,280,0,280,--,380,100,222,280,280,Algún campo sin dato,1,3f070af2fc8e9f7b32fbd1c0e3b6c4d1cc59eef7bd6057acd35c82c2f7be3b26,26/06/2023 00:11:21,ESCANER
8465,"Santa Rosa",6,"Barberena",2,993,380,88,12,29,0,5,0,1,0,83,222,55,9,286,1,287,--,380,96,218,282,283,Sumas Asentadas sin cuadrar,1,76a6fcbd5f9831d3ec4f73dc8f15bd2ad712f483d7f77db1e8080a5a19ab614d,26/06/2023 04:37:06,ESCANER
8466,"Santa Rosa",6,"Barberena",2,993,380,92,13,36,2,6,3,0,0,62,214,56,7,277,0,277,--,380,103,214,277,277,Algún campo sin dato,1,a5599fa9d8334c6d3214e6b7e7a3e98d1d35ed658e169a0cb00e11c369db55f9,26/06/2023 00:26:50,ESCANER
8467,"Santa Rosa",6,"Barberena",2,994,380,96,9,24,2,4,1,1,0,59,196,47,8,251,0,251,--,380,129,196,251,251,Algún campo sin dato,1,53ea29aab2d4394101f7e150a43dca55285a3671cd40255b72af34394b179844,26/06/2023 00:26:21,ESCANER
8468,"Santa Rosa",6,"Barberena",2,994,380,88,11,27,1,3,0,2,1,52,185,43,4,232,0,232,--,371,139,185,232,232,Algún campo sin dato,1,15b763a34a460c2dfb5dedbd8ed1960fec2d2441eb17024227dad2c8ec3d32f7,25/06/2023 23:06:17,ESCANER
8469,"Santa Rosa",6,"Barberena",2,994,380,88,11,34,3,3,4,1,0,73,217,36,5,258,0,258,--,380,122,217,258,258,Algún campo sin dato,1,b72e90ae6fb34c533470780cfd2b74b8dec16af7871e57c63cb85c474b62732f,26/06/2023 00:01:34,ESCANER
8470,"Santa Rosa",6,"Barberena",2,994,380,72,10,41,1,6,1,1,1,65,198,42,3,243,0,243,--,378,129,198,243,243,Algún campo sin dato,1,5350f59b542b6d40cda0255c298e2818c6f37846441d8bc285af78e7428adc24,26/06/2023 00:39:01,ESCANER
8471,"Santa Rosa",6,"Barberena",2,994,380,85,9,10,1,2,6,3,0,68,185,40,7,232,0,232,--,379,147,184,231,231,Sumas Asentadas sin cuadrar,1,b37accf9f747976ef21b275df1deacd56441257500b6e017ff9f891e3e6f921b,26/06/2023 03:52:13,ESCANER
8472,"Santa Rosa",6,"Barberena",2,994,380,93,6,20,2,6,3,2,0,73,205,41,2,248,0,--,--,377,129,205,248,248,Algún campo sin dato,1,79daf602446e4d7df109dd2cf17595ee5cca0fe29950df9dbf60ca33ba8bb3c9,26/06/2023 00:19:23,ESCANER
8473,"Santa Rosa",6,"Barberena",2,994,380,77,5,13,2,3,2,0,1,70,173,40,5,218,0,218,--,380,162,173,218,218,Algún campo sin dato,1,8a5541aa37bd44e737659945201787c787a45f3964f451cce883798ef53f40e7,25/06/2023 22:52:47,ESCANER
8474,"Santa Rosa",6,"Barberena",2,994,380,64,10,21,0,1,4,1,0,67,168,52,7,227,0,227,--,380,153,168,227,227,Algún campo sin dato,1,1705989a6aa48e1659f11127e7121a61b8e110340aaea11870c1d18430c5d86e,25/06/2023 23:35:55,ESCANER
8475,"Santa Rosa",6,"Barberena",2,994,380,88,16,16,2,5,2,1,1,64,195,42,3,240,0,240,--,380,140,195,240,240,Algún campo sin dato,1,bc53988309e7dd25f66457669eacec4f059bbdb1945786d29699e2f3453208ec,26/06/2023 01:11:02,ESCANER
8476,"Santa Rosa",6,"Barberena",2,994,380,73,10,26,2,5,0,2,0,63,121,31,8,220,0,220,--,--,--,181,220,220,Sumas Asentadas sin cuadrar,1,4b8715f947eac5058f5ddb64d6f2158edc54fc9f5a644dbcbd871cc208de3207,25/06/2023 23:21:09,ESCANER
8477,"Santa Rosa",6,"Barberena",2,995,380,60,14,13,2,6,3,1,0,85,184,34,11,229,0,229,--,395,166,184,229,229,Algún campo sin dato,1,6563a7e0952e22d5d9269eefa1dd922e421c6fd98ce7c5b061146fe003d1e100,25/06/2023 23:43:15,ESCANER
8478,"Santa Rosa",6,"Barberena",2,995,380,71,10,23,1,4,1,1,0,69,180,44,6,230,0,230,--,380,150,180,230,230,Algún campo sin dato,1,d71bf6792ddaac907d1086788df67fae6e3719d1445b45841f448dd97b2a7b7a,25/06/2023 23:56:08,ESCANER
8479,"Santa Rosa",6,"Barberena",2,995,380,76,10,22,1,3,1,2,0,51,166,42,1,209,0,209,--,374,165,166,209,209,Algún campo sin dato,1,60b36f00d22d91458c2a543d0e678e0e32b33f41ab2d80653660a4d8fa9dd85d,26/06/2023 00:06:28,ESCANER
8480,"Santa Rosa",6,"Barberena",2,995,380,82,10,24,1,5,1,0,0,61,184,31,6,221,0,221,--,378,157,184,221,221,Algún campo sin dato,1,9fad028982379ad39b055894d6c7140c9a224b4f2b9bf1ba505623194f40c497,26/06/2023 00:01:22,ESCANER
8481,"Santa Rosa",6,"Barberena",2,995,380,80,17,23,0,3,3,2,0,55,183,30,4,217,0,217,--,380,163,183,217,217,Algún campo sin dato,1,b5329719f25deba1702507e799daf4a6665f39ab5d3d527d3e7fe829d13432a1,25/06/2023 23:13:10,ESCANER
8482,"Santa Rosa",6,"Barberena",2,995,380,67,16,15,1,3,3,0,0,47,152,23,3,178,0,178,--,380,202,152,178,178,Algún campo sin dato,1,5c45329f1a08d1ab50ad29b5fad040720805841c4b768e833849855a0432135a,25/06/2023 21:34:17,ESCANER
8483,"Santa Rosa",6,"Barberena",2,995,380,67,10,19,1,2,2,0,0,37,138,32,1,171,0,171,--,379,208,138,171,171,Algún campo sin dato,1,1ffca6a67fc210fbd9aca141af822d2f221e2a597519ec7d725c5b7d271c40bb,26/06/2023 00:24:49,ESCANER
8484,"Santa Rosa",6,"Barberena",2,995,380,76,21,19,2,0,2,0,0,71,191,36,1,228,0,228,--,380,152,191,228,228,Algún campo sin dato,1,6486deab40544db169bb833f07bb2618bec66a7926a2fbd6be7c3b7fe3637dd3,26/06/2023 01:09:46,ESCANER
8485,"Santa Rosa",6,"Barberena",2,996,380,104,11,23,1,2,0,0,0,72,213,22,1,236,--,--,--,380,144,213,236,236,Algún campo sin dato,1,cc1bfcfff5eb4409f50a3a3d4110781770f5136b1b18a9b7f80ccdfe587523cf,25/06/2023 22:42:11,ESCANER
8486,"Santa Rosa",6,"Barberena",2,996,380,64,9,17,0,4,1,0,1,57,153,28,--,--,--,--,--,377,196,153,181,181,Algún campo sin dato,1,6b96f5e93fee85319e937299a03fe53ccc17f05353bbacd91403a840d67f3825,26/06/2023 01:26:20,ESCANER
