TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
151,151,100.0000,151,100.0000,0,56702,38206,67.3803

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,VALOR UNIONISTA,BIEN,PHG,PR,CREO,PPG,UNE,TODOS,AZUL,MLP,FCN-NACION,MI FAMILIA,PODEMOS,VOS,PPN,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2059,"Guatemala",1,"Santa Catarina Pinula",2,158,380,1,8,102,2,8,0,16,1,102,3,2,5,0,4,2,2,0,5,263,8,2,273,0,273,--,384,11,263,273,273,Algún campo sin dato,1,985a41239be6d2312b156db7b0a8b694238daba2a89bf1497e696875519cf964,26/06/2023 01:47:54,ESCANER
2060,"Guatemala",1,"Santa Catarina Pinula",2,158,380,2,6,110,2,7,2,16,2,86,5,2,6,1,3,0,4,2,1,257,12,1,270,0,270,--,380,110,257,270,270,Algún campo sin dato,1,aee4828879a74c2904adc93de03e1a97cc6bcb311c5b61d0c96ebff868705578,26/06/2023 01:01:56,ESCANER
2061,"Guatemala",1,"Santa Catarina Pinula",2,158,380,1,10,121,5,10,1,16,2,80,3,4,1,1,8,1,1,0,8,273,7,3,283,0,283,--,380,97,273,283,283,Algún campo sin dato,1,7c85036843d238b36e7ab88d98c905dd6715863928b6d1e7649146b0cbe2d5c6,26/06/2023 00:06:13,ESCANER
2062,"Guatemala",1,"Santa Catarina Pinula",2,158,380,1,7,116,5,10,0,15,1,74,4,0,4,1,6,0,4,1,10,259,12,2,273,0,273,--,380,107,259,273,273,Algún campo sin dato,1,c1bd38fa0a18e45b5e5c1afff7b7e1a39e28c5500dfd143aed650290777d7c04,25/06/2023 23:21:04,ESCANER
2063,"Guatemala",1,"Santa Catarina Pinula",2,158,380,0,10,105,3,5,0,10,4,88,1,1,2,0,6,0,1,1,10,247,11,2,260,0,260,--,380,120,247,260,260,Algún campo sin dato,1,679cd51175fbf5673275855f80272af41a2d564105195c72824c818e30ccb91e,26/06/2023 00:32:09,ESCANER
2064,"Guatemala",1,"Santa Catarina Pinula",2,158,380,5,4,106,1,12,1,14,2,73,2,2,2,0,2,0,1,0,7,234,9,0,243,0,243,--,379,136,234,243,243,Algún campo sin dato,1,ebf28e477749261bf7c8dfc4c6bed24fbb0ceb88855cc79b1bac49cf726ba7f3,25/06/2023 23:26:20,ESCANER
2065,"Guatemala",1,"Santa Catarina Pinula",2,158,355,0,7,114,6,7,0,17,5,60,0,2,3,0,4,0,1,0,7,233,9,1,243,0,243,--,354,112,233,243,243,Algún campo sin dato,1,26cacb91eb551a2430bd81aa2a442b7cad0891f912e332baa6053af7309f05f7,26/06/2023 00:30:56,ESCANER
2066,"Guatemala",1,"Santa Catarina Pinula",2,158,355,0,5,97,3,6,0,7,4,57,1,0,4,0,4,0,2,0,5,195,5,0,200,0,200,--,355,155,195,200,200,Algún campo sin dato,1,f06342461e1667467f99f4a4d6be3c47da3d0c9684a2405d69341be1d4fadd18,25/06/2023 22:59:53,ESCANER
2067,"Guatemala",1,"Santa Catarina Pinula",2,159,380,3,1,131,8,11,2,16,4,61,3,1,6,2,1,6,0,1,0,257,14,2,273,0,273,--,380,107,257,273,273,Algún campo sin dato,1,840890fd9824812ae76e258eb4e2939a8ba820e9dcecb5a21bd6e4553a708946,26/06/2023 02:58:07,ESCANER
2068,"Guatemala",1,"Santa Catarina Pinula",2,159,380,4,2,136,10,3,2,10,3,69,3,0,3,1,2,1,2,0,7,258,6,4,268,0,268,--,380,112,258,268,268,Algún campo sin dato,1,c15db5c0f5b973f012c7757a2f5e3e8a27c65567b3c5b05d32b21e756869e4db,25/06/2023 23:45:18,ESCANER
