TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
308,308,100.0000,308,100.0000,0,113565,68807,60.5882

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,FCN-NACION,VAMOS,AZUL,MLP,UNE,VIVA,CABAL,TODOS,PODEMOS,WINAQ,ELEFANTE,CAMBIO,PPN,MI FAMILIA,VALOR,CREO,VOS,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19466,"Alta Verapaz",16,"San Pedro Carchá",9,2988,281,48,1,20,3,0,37,3,7,1,0,0,0,6,4,1,2,0,0,0,133,5,0,138,0,138,0,281,143,133,138,138,,1,1decf6024b130dc721a8f4478cecd1f1efd276aa549e6a01600f041106fd54de,25/06/2023 21:58:16,ESCANER
19467,"Alta Verapaz",16,"San Pedro Carchá",9,2989,400,57,4,19,11,0,105,8,13,5,2,5,3,2,4,3,8,3,1,2,255,15,5,275,125,400,--,400,125,255,275,400,Algún campo sin dato,1,1060f44fd406640152417d047c8426c23457c9637bc641b54d0a0743b3086d76,26/06/2023 02:39:53,ESCANER
19468,"Alta Verapaz",16,"San Pedro Carchá",9,2989,400,40,3,16,13,0,99,5,12,3,1,3,0,2,13,0,18,4,2,1,235,14,9,258,3,261,--,400,139,235,258,261,Algún campo sin dato,1,c9ed89622951bf9109bba730ed4c8d293ba9c04390a88e2795e8df5a8ebbc3f1,26/06/2023 01:14:20,ESCANER
19469,"Alta Verapaz",16,"San Pedro Carchá",9,2989,400,56,4,23,6,1,107,4,21,7,3,3,2,2,7,2,13,2,5,4,272,7,2,281,0,281,--,400,119,272,281,281,Algún campo sin dato,1,cb64f16ae57fb2965c46b92cb8118855832debc5fb0f400478f00e2373719103,25/06/2023 23:00:04,ESCANER
19470,"Alta Verapaz",16,"San Pedro Carchá",9,2989,377,47,5,12,9,0,84,10,10,3,1,0,0,4,13,3,9,2,0,1,213,15,1,229,0,229,--,377,148,213,229,229,Algún campo sin dato,1,0d30a003736bb4002ac8d85d798fda267cee6430a7a3c67f3968d7dc9b0adedc,26/06/2023 01:22:25,ESCANER
19471,"Alta Verapaz",16,"San Pedro Carchá",9,2989,376,30,1,17,10,1,88,2,12,3,1,1,2,1,7,4,8,4,3,3,198,7,0,205,0,205,--,376,171,198,205,205,Algún campo sin dato,1,040c895e879b8c2af9931599eb35c04442a1a23ada00837cc0a0152d08b4ec52,26/06/2023 00:17:53,ESCANER
19472,"Alta Verapaz",16,"San Pedro Carchá",9,2990,400,103,4,34,3,1,49,5,4,2,1,5,2,0,6,0,5,4,0,0,228,31,6,265,0,265,--,400,135,228,265,265,Algún campo sin dato,1,396ea34f675f36583aefd95e3ecd0f1dd8a9c486e9f11f36788ab29559879fe2,26/06/2023 05:40:37,ESCANER
19473,"Alta Verapaz",16,"San Pedro Carchá",9,2990,400,109,0,52,6,0,42,6,3,0,1,3,0,0,8,1,2,3,0,1,237,34,7,278,0,278,--,368,90,237,278,278,Algún campo sin dato,1,0be3c0828c6bbe929144d3ce6f6ee679f864891ba41a3f70ef57b3547b89c75b,26/06/2023 00:39:01,ESCANER
19474,"Alta Verapaz",16,"San Pedro Carchá",9,2990,400,83,2,36,5,0,67,13,7,3,1,2,0,2,5,1,10,2,1,0,240,22,5,267,--,267,1,400,132,240,267,267,Algún campo sin dato,1,3a40bbccd81545280b82f6ea71b4b852a93dbbb7a9897a4a7f9643c228ee3090,26/06/2023 05:52:11,ESCANER
19475,"Alta Verapaz",16,"San Pedro Carchá",9,2990,400,84,3,31,12,0,67,2,7,2,2,2,0,0,0,4,6,1,0,0,232,39,7,278,1,279,1,400,119,223,269,270,Sumas Asentadas sin cuadrar,1,c17f9d1484dabe35cac9a15c9d766cefec10c54b9f255c156a15f77ba2487a83,26/06/2023 06:02:08,ESCANER
19476,"Alta Verapaz",16,"San Pedro Carchá",9,2990,400,89,2,32,8,1,53,8,10,5,3,6,0,0,3,0,9,5,0,0,234,18,0,252,0,252,--,400,148,234,252,252,Algún campo sin dato,1,e84335fc05020a40733fafe51e367cfb943de1496def310459caf7981fb57d31,26/06/2023 02:24:59,ESCANER
19477,"Alta Verapaz",16,"San Pedro Carchá",9,2990,400,77,8,45,6,0,63,7,6,2,4,1,0,0,8,4,9,1,0,0,241,25,7,273,0,273,--,400,127,241,273,273,Algún campo sin dato,1,76bed8cc586ea0ddc10773243059bc47080c5bf868635bf83068e764f513239b,26/06/2023 00:58:40,ESCANER
