TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,93,98.9361,1,34281,19688,57.4312

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,TODOS,PODEMOS,VAMOS,U R N G - MAIZ,VIVA,SEMILLA,CREO,PPN,PR,CAMBIO,AZUL,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17763,"Quiché",14,"Uspantán",15,2705,380,80,5,7,98,0,2,0,21,1,0,0,3,14,231,23,15,269,0,269,0,380,111,231,269,269,,1,4f3bc53ee11e705553e305a63deec57a6e68ef1362ea0877190c593e45fbf0a0,26/06/2023 02:14:46,ESCANER
17764,"Quiché",14,"Uspantán",15,2705,380,83,4,3,81,2,0,0,22,0,0,0,2,7,204,20,11,235,0,235,--,379,145,204,235,235,Algún campo sin dato,1,0e570f3d2c0167c71cf2730a3bbac0ab4e470a878383c93fd3d2dad12f7a80d2,26/06/2023 00:56:27,ESCANER
17765,"Quiché",14,"Uspantán",15,2705,380,55,1,2,70,0,2,2,11,0,0,0,1,10,154,17,4,175,0,175,0,380,205,154,175,175,,1,468b6116b56106edc13a9a935adf889b4ba2c98e6286c39c4112c4f2c2fc91d8,25/06/2023 23:37:03,ESCANER
17766,"Quiché",14,"Uspantán",15,2705,380,56,5,3,74,1,0,0,12,0,1,0,1,13,167,18,10,195,0,195,--,380,185,166,194,194,Sumas Asentadas sin cuadrar,1,0355103a584dc31f31f33602ab922493656f647376877fd6b6fa9ed2323101d0,25/06/2023 23:26:51,ESCANER
17767,"Quiché",14,"Uspantán",15,2705,294,54,3,6,57,0,3,1,11,0,0,0,0,8,143,2,2,147,0,147,--,294,147,143,147,147,Algún campo sin dato,1,dad431f6f2615e1a3dc544d150087ae2a86ab9628d646f9e65303e3fbb4347df,26/06/2023 00:31:05,ESCANER
17768,"Quiché",14,"Uspantán",15,2705,294,44,3,6,61,0,1,1,7,0,0,1,1,8,133,6,5,144,0,144,--,294,150,133,144,144,Algún campo sin dato,1,4a461674bc62c2ec92b01227f685379513800772afcb245324a904a08e9db032,26/06/2023 01:08:36,ESCANER
17769,"Quiché",14,"Uspantán",15,2706,380,47,11,5,111,2,5,1,8,0,0,0,1,16,207,22,9,238,0,238,0,380,142,207,238,238,,1,c1b351ab9b2b4da43736a7f0abb6dfd57a9f4d328e013260f14a1413d61205ef,26/06/2023 06:43:55,ESCANER
17770,"Quiché",14,"Uspantán",15,2706,380,53,25,5,91,1,8,0,15,0,0,0,0,4,202,11,3,216,0,216,0,380,164,202,216,216,,1,2d4db25a5237f1d182c55199f047de72a82a7f3f5efed8894fd312b6fd7a702d,26/06/2023 06:14:34,ESCANER
17771,"Quiché",14,"Uspantán",15,2706,380,77,11,5,78,2,8,1,7,1,1,0,1,13,205,49,16,270,0,270,0,380,110,205,270,270,,1,a36b1667b86a24a6f10b10075b20836936d948eabd59391896360a255ff03337,26/06/2023 06:40:15,ESCANER
17772,"Quiché",14,"Uspantán",15,2706,380,46,13,7,87,2,5,1,20,1,0,0,7,13,202,34,13,249,5,249,--,377,128,202,249,254,Sumas Asentadas sin cuadrar,1,e6fed14a1101c717d4050e0cb0773b7590160d3421c03bf5844b25cd99c91679,26/06/2023 06:56:45,ESCANER
