TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
70,70,100.0000,70,100.0000,0,26720,21105,78.9857

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,VIVA,CABAL,UNE,AZUL,CAMBIO,ELEFANTE,CREO,VOS,TODOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9706,"Sololá",7,"Santiago Atitlán",19,1219,400,50,96,99,4,1,15,28,1,22,2,6,324,2,5,331,0,331,--,400,69,324,331,331,Algún campo sin dato,1,df73f9fa084df807c687b26ad0f28efc3d2c1ee44b5c57b2c8f0d80f1248d71d,26/06/2023 00:55:30,ESCANER
9707,"Sololá",7,"Santiago Atitlán",19,1219,400,60,75,79,4,2,13,28,1,15,2,3,282,11,8,301,0,301,--,--,--,282,301,301,Algún campo sin dato,1,eb94f0299111af36adbe394ea8bf316777e62724da20be8cbcd29617823bc267,26/06/2023 00:18:13,ESCANER
9708,"Sololá",7,"Santiago Atitlán",19,1219,400,81,74,79,3,7,6,33,0,18,1,5,307,6,1,314,0,314,--,400,86,307,314,314,Algún campo sin dato,1,1b040c40b61788f70d8fec606ddf6be59fd82905eb51ca4730ce67513a3cac92,26/06/2023 01:07:49,ESCANER
9709,"Sololá",7,"Santiago Atitlán",19,1219,400,57,96,88,2,0,17,25,1,11,3,2,302,12,7,321,0,321,1,400,79,302,321,321,,1,6aca25b5a3bca08a02059b5e9c4c4d1c7f796308ddc5e07d516c4de4927c130b,25/06/2023 23:46:33,ESCANER
9710,"Sololá",7,"Santiago Atitlán",19,1219,400,62,89,90,4,1,14,31,0,11,0,3,305,4,5,314,0,314,--,400,86,305,314,314,Algún campo sin dato,1,93a8e5bbfa4761205772a8fda960cb3a46be782dcedd792804aadd91fd093805,26/06/2023 00:16:31,ESCANER
9711,"Sololá",7,"Santiago Atitlán",19,1220,400,56,93,74,3,4,25,21,0,16,1,6,299,9,4,312,0,312,--,400,88,299,312,312,Algún campo sin dato,1,419afcaa7b256dbbd7f316e223f248f0bacb084bf2f7a681f59da70bf8d7286d,25/06/2023 23:08:29,ESCANER
9712,"Sololá",7,"Santiago Atitlán",19,1220,400,56,77,87,6,1,23,40,2,22,3,7,324,2,9,335,2,337,--,400,63,324,335,337,Algún campo sin dato,1,f918d5ceb027abd140a203acbe90a8b7304c1ca939d9306fff0d296e3eb4ec82,26/06/2023 00:39:51,ESCANER
9713,"Sololá",7,"Santiago Atitlán",19,1220,400,49,84,103,3,2,12,26,1,13,2,6,301,13,2,316,--,316,--,400,84,301,316,316,Algún campo sin dato,1,929e9df952e078e41f895f1810a4a1cee44e7ecc0b79eb41c3f9146362f6d46c,26/06/2023 01:47:12,ESCANER
9714,"Sololá",7,"Santiago Atitlán",19,1220,400,57,89,87,2,3,12,22,1,14,1,6,294,4,7,305,0,305,--,400,95,294,305,305,Algún campo sin dato,1,784e7870a11c6a1aabbbc3012e398c3dad752fd527d8c6c1ac3a92d22bad903e,25/06/2023 21:40:15,ESCANER
9715,"Sololá",7,"Santiago Atitlán",19,1220,400,40,91,67,8,6,14,34,0,18,3,2,283,9,2,294,0,294,--,400,106,283,294,294,Algún campo sin dato,1,1234ff451a85a6f37e25d703f4deafcb4a06ac500bcf45e21ee733cc995062d0,26/06/2023 00:29:43,ESCANER
