TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
122,122,100.0000,122,100.0000,0,46334,29441,63.5408

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,BIEN,UNE,SEMILLA,PPG,PR,AZUL,CREO,VALOR,VICTORIA,FCN-NACION,UR,CAMBIO,P A N,PODEMOS,MLP,UNIONISTA,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2217,"Guatemala",1,"San José Pinula",3,177,400,80,2,5,35,6,4,2,41,10,38,0,3,2,0,0,0,2,2,8,240,8,0,248,0,248,--,400,152,240,248,248,Algún campo sin dato,1,f4a512dc86102bdb5f966ef26f49aee70fa277a1ad80e5aa830cc857075b7b58,26/06/2023 01:35:13,ESCANER
2218,"Guatemala",1,"San José Pinula",3,177,400,58,6,5,42,13,3,3,40,3,35,1,0,1,0,0,0,4,2,15,231,6,0,237,0,237,--,400,163,231,237,237,Algún campo sin dato,1,14bce56fbba19dffc0a0b8da224b7ed26353be59641b19f4c6598e04914280bb,26/06/2023 03:25:43,ESCANER
2219,"Guatemala",1,"San José Pinula",3,177,400,85,6,5,41,9,3,2,26,3,41,0,1,4,0,0,1,2,3,7,239,16,1,256,0,256,0,400,144,239,256,256,,1,2f0cf77056c5b0ba29f80b287227b0d2b4429ef0baf9443cde661341abb4eda9,26/06/2023 01:25:43,ESCANER
2220,"Guatemala",1,"San José Pinula",3,178,400,73,8,9,34,16,4,2,29,9,44,1,2,3,0,0,0,2,3,3,242,19,2,263,0,263,--,400,137,242,263,263,Algún campo sin dato,1,77ae044dc32e32a3a00d0a4715f7664d6526c97e350532d0acd2fe1dfdeb0d1a,25/06/2023 23:53:55,ESCANER
2221,"Guatemala",1,"San José Pinula",3,178,400,63,5,9,29,7,5,6,55,10,38,1,1,2,0,0,1,5,0,14,251,10,2,263,0,263,--,400,137,251,263,263,Algún campo sin dato,1,68fbcc853881a7cf0f8ff1adfc043795b66925d4f3b104d119aee1055e7c91b8,26/06/2023 00:32:47,ESCANER
2222,"Guatemala",1,"San José Pinula",3,178,400,68,9,5,43,14,1,11,31,6,42,1,2,2,0,0,1,6,9,12,263,10,2,275,0,275,--,400,125,263,275,275,Algún campo sin dato,1,06677d76d2d725fd24e864597530ee9a53bba089826f8006d98f89b1e89cc4cb,26/06/2023 00:15:58,ESCANER
2223,"Guatemala",1,"San José Pinula",3,178,400,80,7,10,42,14,3,6,30,6,47,2,0,5,1,1,0,4,6,10,274,4,2,280,0,280,--,400,120,274,280,280,Algún campo sin dato,1,08a29c8f53adb623938ebf60abe0feac4a44fbb8ce90e803f8638d5b6707f986,25/06/2023 23:41:09,ESCANER
2224,"Guatemala",1,"San José Pinula",3,178,400,76,7,8,43,11,1,3,33,11,34,2,1,0,1,0,0,3,6,10,250,10,2,262,0,262,--,400,138,250,262,262,Algún campo sin dato,1,27e8c2a16afb8133b1fdae85f3806219136dfc44ec6193fee5b302feaecc28f7,26/06/2023 00:18:40,ESCANER
2225,"Guatemala",1,"San José Pinula",3,178,400,56,11,5,30,14,1,4,35,7,45,0,0,2,0,1,1,2,1,14,229,11,2,242,0,242,--,400,158,229,242,242,Algún campo sin dato,1,f4a8cfcacb699dacfcf19229d206956660c9d6f45b9fcffecee8e9f0de53a3b7,26/06/2023 00:06:17,ESCANER
2226,"Guatemala",1,"San José Pinula",3,179,400,74,2,4,42,10,3,2,31,11,38,0,1,5,0,1,1,2,2,6,235,10,3,248,0,248,--,400,152,235,248,248,Algún campo sin dato,1,529f0068b8884ffb7adf766c222db3e249aacdefdc2d11b0d722b5c244e9e16c,25/06/2023 23:32:42,ESCANER
