TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
46,46,100.0000,46,100.0000,0,16633,10682,64.2217

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,MLP,UNE,AZUL,PHG,VIVA,FCN-NACION,VAMOS,PODEMOS,VICTORIA,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8971,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1089,380,68,0,22,15,1,1,1,61,0,0,52,221,25,7,253,32,253,--,380,127,221,253,285,Sumas Asentadas sin cuadrar,1,303bbf67aba0e48f02e01e596ef4060ba8ba1a604b9772079ea1995dd1ecd115,25/06/2023 23:50:44,ESCANER
8972,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1089,380,68,0,23,11,0,3,2,58,0,0,52,217,7,4,228,--,228,--,384,156,217,228,228,Algún campo sin dato,1,64ad096ff4236966483ef292b051f838cd6596b11641ec3f4a461b5335bb4445,25/06/2023 23:55:02,ESCANER
8973,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1090,191,39,0,16,7,0,9,0,30,0,1,19,121,2,1,124,0,124,--,191,67,121,124,124,Algún campo sin dato,1,42ac2ecf15a01bbb30f9cb9bc9e60ee2ee3b4b494f4d8d95ae7e405ee11f6087,25/06/2023 22:07:16,ESCANER
8974,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1090,191,48,0,17,7,0,2,1,20,0,0,30,125,0,2,129,2,129,--,191,62,125,127,129,Sumas Asentadas sin cuadrar,1,18372298f6a153b623012f395aa6d38135530e3bee92631d64d01a92d5a9e6b3,25/06/2023 22:55:16,ESCANER
8975,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1091,380,78,0,25,5,1,4,1,58,0,0,42,214,31,12,257,0,257,--,384,127,214,257,257,Algún campo sin dato,1,b15a9c9af708ecfc0f5a980d2908ec0f09b8200972a5df67e1bbccd2a924015a,26/06/2023 01:46:34,MOVIL
8976,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1091,380,89,0,21,7,0,5,5,79,0,1,44,251,26,8,285,0,285,--,384,99,251,285,285,Algún campo sin dato,1,14fe17a865bc29f21e71fc7c4fee276903e897a4fdeefbb7a35b26364bd8d355,26/06/2023 00:16:41,MOVIL
8977,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1091,362,68,0,26,13,0,4,3,54,0,2,23,193,19,4,216,0,216,--,366,150,193,216,216,Algún campo sin dato,1,a038e566be65fe20eff6c36a25c2b6e71938c4e4fca3b0864f5a1f31a1d3053e,26/06/2023 00:14:40,MOVIL
8978,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1091,361,72,--,20,6,1,5,--,55,--,1,29,189,8,2,199,--,199,--,369,170,189,199,199,Algún campo sin dato,1,ed11883f3db2e07c93b76181763e3021adee291396678b9a00d275b9845e9d5d,25/06/2023 23:12:29,MOVIL
8979,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1092,459,28,2,16,8,0,1,4,33,1,0,20,113,19,4,136,0,136,--,459,323,113,136,136,Algún campo sin dato,1,d0c40f531ee9f1ba8126e4fc3e9c0d4604377d9dae8014682033cdc49aa73fa6,25/06/2023 22:56:01,ESCANER
8980,"Santa Rosa",6,"Pueblo Nuevo Viñas",13,1092,459,14,1,14,4,0,0,0,27,0,2,17,79,3,3,85,0,85,--,459,374,79,85,85,Algún campo sin dato,1,5727bb6d160a66487063107bebaa0d0e14204b5b8ecbbff002d27b0eced50abb,25/06/2023 22:33:46,ESCANER
