TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
47,47,100.0000,47,100.0000,0,16938,11514,67.9773

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,AZUL,WINAQ,CABAL,MLP,UNE,CCMT,CREO,VICTORIA,TODOS,VOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11083,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1482,380,100,117,8,0,10,3,25,0,0,0,0,13,276,0,0,276,0,276,--,380,104,276,276,276,Algún campo sin dato,1,511ef8d1f2eaa55cd24a4df6311403931e2264c3d496f0d0d5efe75e85d5476a,25/06/2023 22:19:01,ESCANER
11084,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1482,193,43,62,3,1,2,2,9,0,0,1,2,17,142,2,0,144,0,144,--,193,49,142,144,144,Algún campo sin dato,1,a67a09c645a905cb0f2de409b54c0f62f399d0886fea4a7f4d6d61e8cb5f0c20,25/06/2023 22:52:37,ESCANER
11085,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1482,193,44,59,5,1,5,2,10,0,0,1,0,4,131,2,2,135,0,135,--,193,58,131,135,135,Algún campo sin dato,1,a2ed015bab011f1e3e2dfd5a6cf0b6d025be5b7f47f58a5d96dc5a7b9c5d2207,25/06/2023 22:17:25,ESCANER
11086,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1483,380,171,72,1,2,16,4,5,0,0,0,4,17,292,13,8,313,0,313,--,380,67,292,313,313,Algún campo sin dato,1,98172824f30fd73e25070063497b4df11f32a98558fb5bcef7fb9d8a681c8ca1,25/06/2023 23:58:05,ESCANER
11087,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1483,380,106,144,1,1,7,5,6,2,3,0,6,25,306,8,6,320,0,320,--,380,60,306,320,320,Algún campo sin dato,1,225ce324ade11f6abafdbdc52b5a03aa9762950283f32df867b55a137714998c,26/06/2023 00:38:04,ESCANER
11088,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1483,380,70,104,0,3,72,4,6,0,1,1,3,16,280,8,13,301,0,301,--,379,78,280,301,301,Algún campo sin dato,1,02e2a2cb63cc0d539e861162908f1f38896ff1683f7d9093f30812da82c8dcfe,26/06/2023 00:31:03,ESCANER
11089,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1483,380,119,83,0,0,27,1,2,0,0,0,5,27,264,6,2,272,0,272,--,379,107,264,272,272,Algún campo sin dato,1,86213628859ba9ca56b488f9cc68a3eba7b3ca9fe9e584db57af3559b7fbc07f,25/06/2023 23:44:39,ESCANER
11090,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1483,277,86,71,0,0,16,3,3,0,2,0,1,10,192,0,0,192,0,192,--,277,85,192,192,192,Algún campo sin dato,1,0dea2d6e6cfc4ed5a4db812bb6d7ca2e042c8cc4af569673033b215124e24e71,26/06/2023 00:43:27,ESCANER
11091,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1483,276,109,62,0,0,8,2,5,0,0,0,3,11,200,0,1,201,0,201,--,277,76,200,201,201,Algún campo sin dato,1,461cc13aa5fe3d608cc6bce32f21c401ebcc3a01bde64a9f9231cfc00caedaa6,26/06/2023 00:57:17,ESCANER
11092,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1484,380,116,62,0,3,0,9,33,0,3,0,1,21,248,23,13,284,0,284,--,380,96,248,284,284,Algún campo sin dato,1,650e95a23955fd297fe487f212e864d687d3df4d7d87cd339d1ba7ca16d04de2,26/06/2023 01:11:27,ESCANER
11093,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1484,317,106,45,0,2,0,9,21,0,3,0,0,14,200,12,4,216,0,216,--,317,101,200,216,216,Algún campo sin dato,1,c6ce0e94ab4bb40c2f2f5abc2cc1a3f8571d6636ad13faefdb26313d830a6a6b,26/06/2023 02:31:39,ESCANER
11094,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1484,316,78,53,0,1,0,6,19,0,3,0,0,17,177,3,7,187,0,187,--,316,129,177,187,187,Algún campo sin dato,1,c096df459ee9f198a7e5906bcdcaf1b4ebbee5a7028984dbc4e4c66e77830b88,26/06/2023 00:29:02,ESCANER
11095,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1485,444,38,74,8,3,2,7,13,3,0,1,1,9,159,7,6,172,0,172,--,444,272,159,172,172,Algún campo sin dato,1,420a586d0961b3183fcbb8b347cade2ff70d1b1837be8d566a87d94a5946598a,25/06/2023 23:58:46,ESCANER
11096,"Quetzaltenango",9,"San Martín Sacatepéquez",12,1485,443,36,45,0,0,2,3,11,0,1,2,1,6,107,3,5,115,0,115,--,443,328,107,115,115,Algún campo sin dato,1,931d963e1e12875d3918da7638a492f350bedf1741cee691bd0187a3f9e6a569,25/06/2023 23:13:16,ESCANER
