TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,94,100.0000,0,36670,25945,70.7526

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,UNE,CABAL,AZUL,WINAQ,VICTORIA,SEMILLA,MLP,VIVA,PR,CAMBIO,PODEMOS,VAMOS,TODOS,VOS,BIEN,U R N G - MAIZ,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8099,"Escuintla",5,"Palín",11,934,400,69,68,5,2,2,14,58,2,2,2,0,0,54,0,1,1,4,284,12,2,298,0,298,1,400,101,284,298,298,,1,6f50ec33fbd267fe39f15b3c83cc30c7cfe8dfd0be856a5f5cb262d5b7fc57e6,26/06/2023 01:06:00,ESCANER
8100,"Escuintla",5,"Palín",11,934,400,69,73,6,1,1,14,61,0,1,5,1,0,42,2,3,0,4,283,15,2,300,0,300,--,397,97,283,300,300,Algún campo sin dato,1,df661bf35b91b61db183b723f9ff944483de4cef39499c9895c05adfe8353360,26/06/2023 00:12:33,ESCANER
8101,"Escuintla",5,"Palín",11,934,400,61,81,4,4,3,14,58,1,2,5,0,0,51,0,0,0,3,287,7,2,296,0,296,0,0,0,287,296,296,,1,f11ef6c36251dee67dbbea1a3cd917a2992d5fcc0ab91d44b3ca6ef27b527606,26/06/2023 00:58:22,ESCANER
8102,"Escuintla",5,"Palín",11,935,400,73,82,4,1,5,10,50,0,9,9,0,0,36,0,0,0,2,281,10,3,294,0,294,0,400,106,281,294,294,,1,f940d37449286c0e86aefc900f54d47f4fecf4e5a8c9676d3c823a6afda55940,26/06/2023 11:53:44,ESCANER
8103,"Escuintla",5,"Palín",11,935,400,65,81,8,3,1,3,43,2,1,9,0,0,44,0,0,2,2,264,8,2,274,0,274,--,396,126,264,274,274,Algún campo sin dato,1,ed1ddc1c2c61db639d452a6f3ef4a3f1be42aec01185df3574afaccb3e7210ed,27/06/2023 19:32:51,ESCANER
8104,"Escuintla",5,"Palín",11,935,400,92,92,6,3,4,10,41,2,1,5,1,0,32,0,0,1,2,240,40,17,297,0,297,0,400,103,292,349,349,Sumas Asentadas sin cuadrar,1,fe11f79c71d3dce85472c7bd5f30b996ebf1f16864a55d8af42344afb2def708,26/06/2023 02:02:38,ESCANER
8105,"Escuintla",5,"Palín",11,935,400,94,63,3,2,3,18,35,0,3,9,1,0,19,0,4,0,3,257,5,0,262,0,262,0,400,138,257,262,262,,1,524a6bc1d5dc35ee70f2256c4d746c09b3f122b34444afb44c8d07c2d6c94118,26/06/2023 02:06:26,ESCANER
8106,"Escuintla",5,"Palín",11,935,400,75,82,3,2,2,12,45,1,1,6,0,1,23,1,2,0,0,256,0,0,256,0,256,0,400,144,256,256,256,,1,d339f354d10c95397a2d99db5b3532c85771e867d0c7ae0bc2d1cab5a1b58181,26/06/2023 11:57:24,ESCANER
8107,"Escuintla",5,"Palín",11,935,400,78,71,4,3,4,8,36,0,5,2,0,0,27,0,1,0,0,239,5,0,244,0,244,0,400,156,239,244,244,,1,7a964d0e8356d5c857f612c2f85b0e5402fc3bbcfa5a5b97cd58e523968c3a49,26/06/2023 12:02:56,ESCANER
8108,"Escuintla",5,"Palín",11,935,400,73,66,5,2,3,12,36,2,2,4,0,0,40,0,0,0,1,246,4,1,251,0,251,0,400,149,246,251,251,,1,5d815e2449e87efee88d7a4cee6bebed8036d19ab0c93ff4dcdf68fc338a65b7,26/06/2023 12:04:20,ESCANER
8109,"Escuintla",5,"Palín",11,936,400,86,70,2,3,7,11,46,2,3,4,0,0,37,0,2,0,0,273,2,0,275,0,275,0,400,125,273,275,275,,1,7bf2bf3221cd215f1e4c64947c9b4b7b7ff5b5b5188cef945abc72c6362a5ff4,26/06/2023 10:33:27,ESCANER
8110,"Escuintla",5,"Palín",11,936,400,64,88,2,0,1,11,83,0,0,3,0,0,42,0,0,0,1,295,3,0,298,0,298,0,400,102,295,298,298,,1,b19475c47c6006997611de7be172fc2fe9eab90dad166d4f317648a7a8c5434f,26/06/2023 12:10:57,ESCANER
8111,"Escuintla",5,"Palín",11,936,400,64,65,9,0,2,17,82,5,3,3,0,0,55,1,0,0,3,309,3,2,314,0,314,0,400,86,309,314,314,,1,c188e8bda7bcf0842e822b25b56f2d249196d9cda33a2d82a1291137a51a0626,26/06/2023 10:37:03,ESCANER
8112,"Escuintla",5,"Palín",11,936,400,60,75,0,4,6,10,85,2,2,2,0,1,50,0,0,0,4,301,0,0,301,0,301,1,400,98,301,301,301,,1,0460a0415749c42a1fd6bbe7967add189256efb6168bffb227531e7af9f644a1,26/06/2023 10:50:30,ESCANER
8113,"Escuintla",5,"Palín",11,936,400,86,85,5,2,1,14,65,0,2,5,0,1,38,0,0,0,2,306,5,0,311,0,311,0,400,89,306,311,311,,1,286708b23c6b36d76321ca6f7ba93f3d052a444cd2dcf4b5eb8ac1d19f3582a1,26/06/2023 10:57:50,ESCANER
8114,"Escuintla",5,"Palín",11,936,400,76,62,4,6,4,4,31,2,5,6,0,0,33,0,0,0,0,233,5,1,239,0,239,0,400,161,233,239,239,,1,25e6ac63b68f684371e48aa81fc0a2aa3a8067858cd93ca8b8763a91475f6755,26/06/2023 11:09:58,ESCANER
8115,"Escuintla",5,"Palín",11,937,400,69,87,6,0,2,10,31,1,0,2,0,0,34,0,0,1,0,247,3,1,247,0,247,--,400,153,243,247,247,Sumas Asentadas sin cuadrar,1,156ffbfbdf4d3ba437bd5eb56f39304b23ad0c60ebac84b6d0308094f9df04fa,26/06/2023 00:58:54,ESCANER
8116,"Escuintla",5,"Palín",11,937,293,46,65,1,5,0,5,19,0,2,8,0,2,27,0,0,2,1,183,3,0,186,0,186,--,293,107,183,186,186,Algún campo sin dato,1,56f1c12139d46abff06c6392a7cf830f4b9443ac0495428b8a1c6897e2689f2d,26/06/2023 00:56:41,ESCANER
8117,"Escuintla",5,"Palín",11,937,292,34,48,4,0,2,5,22,0,2,4,1,0,28,0,0,0,1,151,8,0,159,0,159,0,292,133,151,159,159,,1,ccb8d8e9557dca7141a171dedd6aa23bd7c659072fe2724176a87eea45fa64ff,26/06/2023 01:26:07,ESCANER
8118,"Escuintla",5,"Palín",11,938,400,38,93,4,6,5,14,10,0,3,3,0,2,83,2,0,0,1,264,15,5,284,0,284,0,400,116,264,284,284,,1,a6999d61d670feeabdb06e066cd2a0fa0941194f711bf7e9a8b4a616b5aaf5f8,26/06/2023 10:41:02,ESCANER
8119,"Escuintla",5,"Palín",11,938,400,42,102,6,5,3,6,7,0,2,8,0,2,84,1,3,0,1,272,11,1,272,0,272,0,400,116,272,284,284,Sumas Asentadas sin cuadrar,1,53d676133439d70a6a9ed846cb334bb980a3236816d0e052079864f9a02a52a8,26/06/2023 11:09:34,ESCANER
8120,"Escuintla",5,"Palín",11,938,400,47,99,5,3,2,17,11,0,4,4,0,1,76,0,2,0,1,272,17,1,290,0,290,0,400,110,272,290,290,,1,c3f5358d1dedefb0feb2fbe5c152ce44b58eb4ab277ced86c50a9424f8bbdb8e,26/06/2023 11:29:57,ESCANER
8121,"Escuintla",5,"Palín",11,938,400,55,86,6,5,0,17,16,0,1,6,0,1,75,0,1,0,0,269,17,2,288,0,288,0,397,110,269,288,288,,1,2ac9fd196098a69243b43089e18e4a0ba229e46c29666a99e81e45b454510f76,26/06/2023 10:50:31,ESCANER
8122,"Escuintla",5,"Palín",11,939,400,50,102,8,5,1,19,10,0,4,3,0,1,66,1,1,0,0,271,10,2,283,1,284,1,400,116,271,283,284,,1,d38e2deda86b22a66598a2814dbfc52562a9232fe5afc55bb8fab09f4a8ed3cc,26/06/2023 02:04:13,ESCANER
8123,"Escuintla",5,"Palín",11,939,400,38,107,5,2,3,16,12,0,3,7,0,1,63,3,3,0,0,263,7,4,274,5,279,0,400,122,263,274,279,,1,1bfdabc435b9c6e832dad008db782e11bc12d6667d8fe91c72df4914c43e41d5,26/06/2023 03:04:06,ESCANER
8124,"Escuintla",5,"Palín",11,939,400,41,105,5,6,3,8,12,0,1,6,0,0,84,0,2,0,0,273,0,3,276,10,286,0,396,107,273,276,286,,1,d9c952de8fba7555b4c54a2ff9efdf3c07d1cb63e95064f615e6e4d92f844243,26/06/2023 11:30:39,ESCANER
8125,"Escuintla",5,"Palín",11,939,400,45,92,4,3,5,6,10,0,1,5,2,0,64,0,0,0,1,238,6,2,246,0,246,0,400,154,238,246,246,,1,829aa6658e214e9884c39ce4ef74f318429d07c13a081c08d9cd95271cdadb9f,26/06/2023 11:19:32,ESCANER
8126,"Escuintla",5,"Palín",11,940,400,44,75,1,7,2,16,18,1,3,8,0,0,56,0,0,0,1,232,7,0,239,0,239,0,400,161,232,239,239,,1,388761b3beceffa72e59c847ffa4c879d51217223797a8605f34ed19f1711b67,26/06/2023 12:09:00,ESCANER
8127,"Escuintla",5,"Palín",11,940,252,28,67,5,3,1,9,11,1,2,5,0,1,32,0,1,0,0,166,3,0,169,0,169,0,252,81,166,169,169,,1,958bad83b3c947cf4e91da621b7d36a4edee38089c7ce2158fb1f1ab081f3169,26/06/2023 11:41:11,ESCANER
8128,"Escuintla",5,"Palín",11,940,252,30,49,3,3,2,6,9,0,0,3,0,0,33,0,0,0,0,138,7,2,147,0,0,0,252,105,138,147,147,,1,4341bcb477033799f2b453029f98a77d7d946f6bfa62393aeae01032a95071bf,26/06/2023 12:00:20,ESCANER
8129,"Escuintla",5,"Palín",11,941,400,69,152,3,5,2,2,12,0,1,2,1,1,51,1,1,0,1,304,18,7,329,0,329,0,400,71,304,329,329,,1,f21f248e56c5df3351d9163bef082e43c05160d4092a902dc1adcc91d4ba7fca,26/06/2023 13:18:20,ESCANER
8130,"Escuintla",5,"Palín",11,941,400,51,174,6,4,0,4,11,0,1,2,0,0,36,0,3,0,0,292,11,10,313,0,313,0,400,87,292,313,313,,1,7a96c660a6b2942d4143d85720f086aeb26aecb005a4a12a8a1392930d8218a0,27/06/2023 15:52:46,ESCANER
8131,"Escuintla",5,"Palín",11,941,294,40,108,5,4,0,4,10,0,2,3,0,2,21,0,0,0,0,199,16,4,219,0,219,0,291,72,199,219,219,,1,132bec3cca44c6550e6490a1604471c41a6a3ee9cab70cd9ac45d7a5f738ed5a,26/06/2023 12:43:45,ESCANER
8132,"Escuintla",5,"Palín",11,941,293,37,127,0,4,0,6,5,0,1,4,0,0,24,0,1,0,0,209,5,1,215,0,215,--,293,78,209,215,215,Algún campo sin dato,1,ed63f76a8725929d2cdd565f52123b436eed47d76d2f6fb0a35f0b8a077b7004,26/06/2023 12:27:24,ESCANER
8133,"Escuintla",5,"Palín",11,942,400,117,48,2,3,0,5,8,2,2,6,0,1,21,0,3,4,4,226,21,2,249,0,249,0,400,151,226,249,249,,1,742c5c7a675bee39374bab5f08c24342ae593800dad6c64a752f2c5260081473,26/06/2023 12:21:57,ESCANER
8134,"Escuintla",5,"Palín",11,942,400,130,46,4,3,4,3,17,2,4,5,1,0,28,2,3,0,0,252,14,1,267,0,267,0,400,133,252,267,267,,1,ff3e25e04167c4a7ac2eb7caf413e691e87eebab67f9de022ab795a6ab0351b8,26/06/2023 12:16:53,ESCANER
