TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
194,194,100.0000,193,99.4845,1,70903,34895,49.2151

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VALOR,MLP,UR,TODOS,CONSOL,PHG,VICTORIA,CAMBIO,AZUL,VAMOS,UNE,CCTPFDJ,VIVA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23601,"Jutiapa",22,"Jutiapa",1,3707,400,52,19,0,1,12,5,22,14,4,6,63,14,5,2,0,219,23,4,246,0,246,0,400,154,219,246,246,,1,24eefafb2ad0e70dca2dda40759309de34030b2bb1f309cac45c0f005c284503,26/06/2023 01:55:31,ESCANER
23602,"Jutiapa",22,"Jutiapa",1,3707,400,56,21,1,3,13,2,32,5,5,7,65,10,1,8,3,232,19,4,255,0,255,--,397,142,232,255,255,Algún campo sin dato,1,c098d970c6c7923e423cc555b4adcd47b4b17a56c26c222a80ac2ea9017e1b93,26/06/2023 02:10:07,ESCANER
23603,"Jutiapa",22,"Jutiapa",1,3708,400,55,17,1,3,14,2,19,4,6,12,83,10,4,0,3,233,28,2,263,0,--,--,399,131,233,263,263,Algún campo sin dato,1,3884e6f2dd01c1024b695697b9e154936a11f78ef6c01067ed202f84ed763a90,26/06/2023 04:17:48,ESCANER
23604,"Jutiapa",22,"Jutiapa",1,3708,400,57,22,1,2,11,3,19,10,5,15,77,18,1,2,5,248,15,1,264,136,400,--,400,136,248,264,400,Algún campo sin dato,1,cc3de60725b07f87f7e4c4f87e3e03287b937915ba6a796982eb8e44cf140f1e,26/06/2023 00:49:18,ESCANER
23605,"Jutiapa",22,"Jutiapa",1,3708,400,59,17,3,4,18,2,16,11,11,14,68,12,0,4,0,239,7,2,248,0,248,--,400,152,239,248,248,Algún campo sin dato,1,6646ce2e3d78740ad0ea5ea105f64e73fc7ebe25e078ec81a54250769296999c,26/06/2023 03:07:53,ESCANER
23606,"Jutiapa",22,"Jutiapa",1,3708,400,56,27,0,5,8,3,24,3,8,20,68,9,1,1,5,238,17,3,257,0,257,--,400,143,238,258,258,Sumas Asentadas sin cuadrar,1,fefe5762e2af10b696395c32a11c98a2d275d5cad999e41bd0764d6f3fdc2bfb,26/06/2023 03:40:29,ESCANER
23607,"Jutiapa",22,"Jutiapa",1,3708,400,40,17,0,4,14,1,19,4,10,17,84,16,0,4,5,235,13,3,251,0,251,--,400,149,235,251,251,Algún campo sin dato,1,6703ec53392e6282a55be86bb6b38766e0b0fb467aa062850bfd3487f21dec9e,26/06/2023 04:55:16,ESCANER
23608,"Jutiapa",22,"Jutiapa",1,3708,400,56,18,2,4,21,1,12,5,6,14,87,11,1,4,0,242,21,6,269,0,269,4,396,129,242,269,269,,1,4a15e4748ce5cbc95e84146914c9ff494691fd0989084a7fd19215cefdfdbdcf,26/06/2023 02:49:43,ESCANER
23609,"Jutiapa",22,"Jutiapa",1,3709,400,47,14,0,5,14,2,15,10,7,17,71,8,0,4,2,16,19,2,237,0,237,--,400,163,216,237,237,Sumas Asentadas sin cuadrar,1,db917399c9a1323865756f14e5ab4f963530bd82c5a1e9523c8a1b0cbd7c299e,26/06/2023 01:18:49,ESCANER
23610,"Jutiapa",22,"Jutiapa",1,3709,400,48,23,1,1,18,0,20,6,9,10,63,10,2,2,0,213,17,4,234,0,234,--,400,166,213,234,234,Algún campo sin dato,1,be15e570efd284b1c2b3f09d502c33d0bca3d3acae0b43003a03ad19438ae9d6,26/06/2023 00:56:48,ESCANER
