TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
109,109,100.0000,109,100.0000,0,41283,23685,57.3722

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNIONISTA,PODEMOS,CABAL,MAS UNIDOS,BIEN,AZUL,MLP,VICTORIA,ELEFANTE,VIVA,VOS,UNE,CAMBIO,VALOR,PPN,URNG-MAIZ WINAQ,MI FAMILIA,FCN-NACION,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6128,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,29,16,49,11,29,18,3,1,3,3,1,0,4,3,3,3,0,0,0,176,31,4,211,0,211,--,380,169,176,211,211,Algún campo sin dato,1,5ee663cb556574468247974eef8148c71c540b3e3c5c5ded51d72b2b9f6da2fe,26/06/2023 03:43:43,ESCANER
6129,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,31,13,75,12,34,14,1,0,8,0,1,0,6,1,3,4,1,3,0,207,16,5,228,0,228,--,380,152,207,228,228,Algún campo sin dato,1,76774acc8e4cc836e3b3c1d53784d12221aa34d0f8061e4e83c72e1a35fefa43,26/06/2023 02:18:44,ESCANER
6130,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,39,17,45,11,45,20,0,0,7,2,0,2,2,2,6,6,1,2,1,208,10,6,224,0,224,--,380,156,208,224,224,Algún campo sin dato,1,7d8c96a529b30bec032ee65c47039a15d194d315d6ef134b3b12700c98196571,26/06/2023 02:26:55,ESCANER
6131,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,29,11,45,9,23,9,0,1,5,1,0,2,4,3,6,1,1,2,0,152,15,3,170,0,170,--,380,210,152,170,170,Algún campo sin dato,1,b9c8662b14291f3de92128f0a72a5016e84201fe82921217c87a583d6c1c338a,25/06/2023 23:12:50,ESCANER
6132,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,21,14,70,16,28,10,1,0,5,1,3,2,4,8,5,3,0,2,1,194,20,6,220,0,220,--,380,160,194,220,220,Algún campo sin dato,1,f755ebcba24d819ad28d207e6f850774e855650c12cfadc7fee735ad9bdd7161,26/06/2023 02:45:21,ESCANER
6133,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,27,9,54,15,38,11,1,0,8,2,1,0,4,1,4,1,2,1,0,179,25,11,215,0,215,--,383,168,179,215,215,Algún campo sin dato,1,e4d3a36c2b2d843f78252217e47a24c9313ab4b7a6348f606ffa9b465c3c4e14,26/06/2023 02:59:10,ESCANER
6134,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,28,6,60,13,33,7,0,0,4,0,1,1,5,1,3,5,0,1,0,168,12,9,189,0,189,--,380,191,168,189,189,Algún campo sin dato,1,3d21bc4a80fbae7c990a4bfacaf2598f250e08d786015023d6269bc09bf41da0,26/06/2023 02:13:04,ESCANER
6135,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,29,9,63,15,24,6,0,2,3,0,0,0,5,0,2,1,2,0,1,162,27,12,201,0,201,0,380,179,162,201,201,,1,27778b2aee96e316c2b984b6b222ad095862f56731d0ac04619c6099fdfb3cce,26/06/2023 00:21:29,ESCANER
6136,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,37,12,52,15,19,15,0,0,3,0,1,4,1,0,0,3,1,2,0,165,13,8,186,0,186,0,380,194,165,186,186,,1,c661fc89738533c3c18794f596db91dbb9cfc1a77bdbf9cc09e9f28e91bfd776,25/06/2023 23:29:10,ESCANER
6137,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,43,9,56,13,27,13,0,2,7,1,2,1,1,1,5,2,6,0,0,189,6,1,196,0,196,--,380,184,189,196,196,Algún campo sin dato,1,f5404abc86efcdf691e826bb763bdfcf5f0a0426f0de5500cb2f2815394fdbb0,26/06/2023 02:25:10,ESCANER
6138,"Chimaltenango",3,"San Martín Jilotepeque",3,651,362,37,10,45,7,22,4,0,0,2,0,0,0,0,0,2,1,0,2,0,132,3,0,135,--,--,0,362,227,132,135,135,Algún campo sin dato,1,e51612d778bf08b78fba0d5432260accd10da8f4c03b2f27b35c93ec13da69a2,25/06/2023 23:28:24,ESCANER
6139,"Chimaltenango",3,"San Martín Jilotepeque",3,651,362,26,16,31,12,26,13,1,2,4,1,0,2,0,1,3,3,0,0,0,142,9,5,155,0,155,--,362,207,141,155,155,Sumas Asentadas sin cuadrar,1,fbc236a9ef94008af10fa6eb8132e90becb7bf9efa3706e090483fe11cd1d820,26/06/2023 00:54:11,ESCANER
6140,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,83,9,61,6,5,6,2,0,7,0,3,0,5,5,3,2,3,1,0,201,21,6,228,0,228,0,380,152,201,228,228,,1,38333d06f44576d50b2afb86a34d952f641d745afcf6a67c48c7f07de01739ab,25/06/2023 23:39:48,ESCANER
6141,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,115,5,47,4,7,4,1,2,2,1,2,0,0,4,0,1,7,1,1,204,12,10,226,0,226,0,380,154,204,226,226,,1,9355308b5e2019056cd391e61f994b8c4a5a194c9a39cede8ac136a144b17ad8,26/06/2023 00:03:52,ESCANER
6142,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,102,4,43,1,6,8,0,0,6,2,1,0,10,3,1,7,3,3,1,201,5,0,206,14,220,0,380,160,201,206,220,,1,f4b0277dbc8696f3b462276fd528fcee832b6ecdbe6804302c0ae00007d75964,25/06/2023 23:53:30,ESCANER
6143,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,80,2,45,4,7,7,1,0,6,0,1,0,2,8,0,2,3,1,1,170,9,1,180,1,181,0,380,199,170,180,181,,1,b6e50ea21639dbbdfc628e68657428795da898ad6f6cc8678b9b51a3a43be08e,26/06/2023 00:18:33,ESCANER
6144,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,102,1,52,3,12,11,0,0,4,1,1,0,3,3,0,3,10,0,1,207,18,7,232,0,232,0,380,148,207,232,232,,1,bd9e6709fa2a1d90e22989f56f6ecc3a2ba11cf9f73dd804773140a3a0f2ea70,26/06/2023 00:10:02,ESCANER
6145,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,79,0,35,7,6,11,1,1,6,1,1,0,5,3,3,3,4,3,0,169,15,6,190,0,190,0,380,190,169,190,190,,1,90e537226388fa4073afbabc6f17040b8c870f6b9189f007ec737da66ba258ad,25/06/2023 23:34:34,ESCANER
6146,"Chimaltenango",3,"San Martín Jilotepeque",3,652,219,56,3,26,4,3,6,0,0,0,1,0,3,1,0,1,1,4,1,0,110,5,0,115,0,115,0,219,104,110,115,115,,1,173be38a5c0ebaecd07883ee36930084dbd38b34198841c03dcb5d2d7a32ee0a,25/06/2023 22:19:51,ESCANER
6147,"Chimaltenango",3,"San Martín Jilotepeque",3,652,218,44,2,26,6,4,5,0,0,2,1,0,0,3,1,0,1,0,0,0,95,3,3,101,0,101,0,218,117,95,101,101,,1,665e92eb39bc681f1b4a183a072169f96aa6d4987fca67a958303196f0497f13,25/06/2023 23:50:28,ESCANER
