TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,17765,12280,69.1246

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,COCIEP,COCIEGUA,COCIEES,COCIEA,CABAL,VAMOS,MI FAMILIA,COCIEO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18281,"Baja Verapaz",15,"San Miguel Chicaj",2,2797,375,0,3,0,211,4,0,5,0,0,0,223,6,0,229,0,229,--,375,146,223,229,229,Algún campo sin dato,1,1fb73157901708d7819585d98702f56485b133931e44212b934962d5be2f357e,26/06/2023 01:31:16,ESCANER
18282,"Baja Verapaz",15,"San Miguel Chicaj",2,2798,380,0,73,1,11,157,1,0,0,9,1,253,10,2,265,0,265,--,380,115,253,265,265,Algún campo sin dato,1,a78c3a4787c9af3f25730051429b4c77fc95a87de70d09517b5d506e22cf6338,26/06/2023 01:06:10,ESCANER
18283,"Baja Verapaz",15,"San Miguel Chicaj",2,2798,380,0,70,4,12,197,3,0,0,7,0,293,11,4,308,0,308,--,384,76,293,308,308,Algún campo sin dato,1,2e54669ce2e005d07f87f7d83dbf1a7f8c6f114a773bef12b8f0e9bbba6465f5,26/06/2023 02:06:45,ESCANER
18284,"Baja Verapaz",15,"San Miguel Chicaj",2,2798,380,0,62,1,45,149,4,2,0,19,1,283,15,4,302,0,302,--,380,78,283,302,302,Algún campo sin dato,1,268a52d96bc4af76ee28b3485764b2936a863261cd4f805138fd529ab5fd48b5,26/06/2023 01:58:20,ESCANER
18285,"Baja Verapaz",15,"San Miguel Chicaj",2,2798,380,0,17,16,115,121,0,1,0,6,3,279,8,0,287,0,287,--,378,91,279,287,287,Algún campo sin dato,1,3554f9d4f149ffa212cf27c1bbcc3434f550ee5665a0b3da99d772b5d6fbe4a8,26/06/2023 01:27:39,ESCANER
18286,"Baja Verapaz",15,"San Miguel Chicaj",2,2798,380,0,43,2,80,126,2,0,0,2,0,255,8,2,265,0,265,--,380,115,255,265,265,Algún campo sin dato,1,5e36fc2db2d101dbd4fe90fa281daf2fe8d0564cd477b81f0e0d6ddef93554cc,26/06/2023 03:40:10,ESCANER
18287,"Baja Verapaz",15,"San Miguel Chicaj",2,2798,380,0,64,2,44,119,2,0,0,0,1,232,5,1,238,0,238,1,380,142,232,238,238,,1,1643c98ff4fa298c5d36a4c4d6b6016a9744acd3b3ee3f0cedd2b540a4197fc8,26/06/2023 01:16:47,ESCANER
18288,"Baja Verapaz",15,"San Miguel Chicaj",2,2798,380,1,46,1,42,125,2,0,0,6,2,225,5,0,230,0,230,--,400,170,225,230,230,Algún campo sin dato,1,b9ac8795d2b82bf64169e364954c26487997299ff33bf9cf86afac496dd33416,26/06/2023 01:01:02,ESCANER
18289,"Baja Verapaz",15,"San Miguel Chicaj",2,2798,277,0,28,1,29,110,1,0,0,8,1,178,0,0,178,0,178,--,277,99,178,178,178,Algún campo sin dato,1,f02ffd3b7c1ffd99b270d477e95030faa2f215b19f251227407d967ea19c6f72,26/06/2023 01:49:51,ESCANER
18290,"Baja Verapaz",15,"San Miguel Chicaj",2,2798,276,0,37,2,44,58,0,0,0,4,0,145,4,0,149,0,149,--,276,127,145,149,149,Algún campo sin dato,1,057d18a4d3a17b6815ea7ae04b2bece9e58303e4a71e1c206c042e9e4af15b55,26/06/2023 01:35:51,ESCANER
18291,"Baja Verapaz",15,"San Miguel Chicaj",2,2799,441,0,20,3,53,22,0,0,0,1,0,99,6,2,107,0,107,--,441,334,99,107,107,Algún campo sin dato,1,1751b01bd7103034f5fa7700832cd63db6bb0eeb04b9fec5a939f2f938741abd,25/06/2023 22:12:39,ESCANER
