TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
111,111,100.0000,111,100.0000,0,41651,18627,44.7216

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,MLP,VAMOS,CAMBIO,CABAL,AZUL,PODEMOS,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20580,"Petén",17,"La Libertad",5,3203,400,38,2,26,122,13,0,0,2,203,1,0,204,0,204,--,399,195,203,204,204,Algún campo sin dato,1,1af9e38b9977009fac7c0519e7777cf76ceece4c9c0dcfefac5dbfa1d29df0e0,26/06/2023 02:50:08,ESCANER
20581,"Petén",17,"La Libertad",5,3203,400,24,2,23,121,27,0,0,3,200,2,1,203,0,203,--,400,197,200,203,203,Algún campo sin dato,1,2f2c40a71e45802d65f3f50901edc26e5ae935a27d38ffc0cba107c50d1f43e5,26/06/2023 02:52:12,ESCANER
20582,"Petén",17,"La Libertad",5,3203,400,26,3,17,116,5,2,0,0,169,3,2,174,0,174,--,397,223,169,174,174,Algún campo sin dato,1,8ce2f467ac826837f7ee774f1cfcf4c86986e463c219caf27d7e4905b4294e97,26/06/2023 03:17:57,ESCANER
20583,"Petén",17,"La Libertad",5,3203,400,29,5,25,84,5,2,0,1,151,6,0,157,0,157,--,400,243,151,157,157,Algún campo sin dato,1,97ae84113cb37ece80acf4f1e90ad5c07dbac9c396bccb1fc5fbdd0d7b79109a,25/06/2023 22:27:14,ESCANER
20584,"Petén",17,"La Libertad",5,3203,400,35,4,19,97,6,1,0,4,166,3,4,173,3,176,--,400,224,166,173,176,Algún campo sin dato,1,fbd57053ee950932b86428afbec0115da5cd10784d26da95beef7eb591f3e149,26/06/2023 01:22:11,ESCANER
20585,"Petén",17,"La Libertad",5,3203,297,15,2,15,67,8,0,0,2,109,7,8,124,0,124,--,299,175,109,124,124,Algún campo sin dato,1,a84d5e1132d488e1a2ed76b1599fde66a102b33aea42da1a310dbce2003c0420,26/06/2023 02:36:17,ESCANER
20586,"Petén",17,"La Libertad",5,3203,297,24,2,21,50,10,1,0,5,113,2,2,117,0,117,--,299,182,113,117,117,Algún campo sin dato,1,f2d06237282dea688ef4c0d47ec7fac0c76997b3ade0a60930b95e02202fb67a,25/06/2023 22:10:07,ESCANER
20587,"Petén",17,"La Libertad",5,3204,380,54,3,31,39,17,1,0,1,146,17,8,171,0,171,--,380,209,146,171,171,Algún campo sin dato,1,18c39907916b75d10ff2363997236ee8c1690e4244ed46e90824e6bd8eb6f4f6,26/06/2023 00:51:39,ESCANER
20588,"Petén",17,"La Libertad",5,3204,380,47,9,43,38,19,1,0,1,158,20,7,185,0,185,--,380,195,158,185,185,Algún campo sin dato,1,f4b147f65e1dd810cde91ee1ad145b6b81183e0eaf3278b94ac4b0c939312374,26/06/2023 03:18:49,ESCANER
20589,"Petén",17,"La Libertad",5,3204,380,56,9,45,46,25,4,0,1,186,23,7,216,0,216,--,380,164,186,216,216,Algún campo sin dato,1,a50a52d6416859de916d235b71851ca29e057448535def9e9cbb757b3ad78915,26/06/2023 03:20:36,ESCANER
