TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
296,295,99.6621,293,98.9864,2,112300,67765,60.3428

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VICTORIA,FCN-NACION,VAMOS,TODOS,VIVA,AZUL,VALOR,PODEMOS,CABAL,PPN,SEMILLA,WINAQ,MI FAMILIA,CAMBIO,CREO,UNE,ELEFANTE,VOS,PHG,EL CHERIFON,PR,P A N,MLP,COMITE CIVICO JUSTICIA,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18661,"Alta Verapaz",16,"Cobán",1,2874,400,20,2,58,2,11,3,4,4,13,14,21,1,1,1,7,2,2,1,5,0,8,1,1,63,1,246,3,0,249,1,250,--,400,150,246,249,250,Algún campo sin dato,1,3bff901c8d8d48501573430e5b514b58e7139fed74de03d3aacfd06c7e815210,26/06/2023 02:49:10,ESCANER
18662,"Alta Verapaz",16,"Cobán",1,2874,400,28,1,50,0,10,4,5,7,10,26,11,1,1,1,5,3,0,2,3,0,6,1,2,50,0,228,9,1,238,0,238,2,400,162,227,237,237,Sumas Asentadas sin cuadrar,1,4b65c2cd46a4c3f041295c118ad87b65f863a7abac525dcb18f1dc59e6c96446,26/06/2023 02:06:14,ESCANER
18663,"Alta Verapaz",16,"Cobán",1,2875,400,13,0,69,2,3,4,5,10,11,27,17,2,4,0,7,2,0,1,3,0,7,0,1,61,0,249,6,0,255,0,255,--,400,145,249,255,255,Algún campo sin dato,1,24e28e1c4fe8270b78e31fb1197c2652cfeb92953ed69b19e74b61c41276bfd1,26/06/2023 03:03:45,ESCANER
18664,"Alta Verapaz",16,"Cobán",1,2875,400,35,2,40,1,6,1,4,2,10,25,10,0,2,1,6,2,0,3,3,0,1,1,3,47,0,205,5,0,210,0,210,0,400,190,205,210,210,,1,119a0dc8585c0254f5785fec0a423ccef90fc242df235ae82d41c657ea0de3b9,26/06/2023 00:07:07,ESCANER
18665,"Alta Verapaz",16,"Cobán",1,2875,400,28,3,52,3,6,7,8,5,9,26,14,0,0,0,3,5,0,1,2,1,6,0,0,45,0,224,4,0,228,0,228,--,400,172,224,228,228,Algún campo sin dato,1,30fda380a1ec32000358163135623a67e9cba980ffe5c62f786bcbb117c0b776,26/06/2023 00:19:11,ESCANER
18666,"Alta Verapaz",16,"Cobán",1,2875,400,20,1,62,4,5,3,6,4,6,21,8,0,1,1,8,3,1,1,4,0,4,0,0,47,0,210,7,2,219,0,219,2,396,186,210,219,219,,1,0ebcb74d77e65f1f1b65e6822c68686277c5e3153bf9e09f933d53edcda04870,26/06/2023 02:17:47,ESCANER
18667,"Alta Verapaz",16,"Cobán",1,2875,400,19,2,44,1,8,3,5,2,10,13,6,2,1,0,4,5,0,3,2,0,2,0,1,41,1,175,6,0,181,1,182,0,400,218,175,181,182,,1,4703819624c86bff0e8dc9d71cf3646306f867262c7ca5bb162b123d64ed4304,26/06/2023 00:03:27,ESCANER
18668,"Alta Verapaz",16,"Cobán",1,2875,400,24,0,46,0,2,5,7,3,8,21,9,0,3,2,2,4,1,2,2,0,3,1,4,39,1,189,10,0,199,0,199,--,400,201,189,199,199,Algún campo sin dato,1,ab21a2c3bfca6974d9ddd113766386e524529a40a5867baebaba7b41c142a34c,26/06/2023 01:45:21,ESCANER
18669,"Alta Verapaz",16,"Cobán",1,2875,264,20,0,35,0,3,1,5,1,4,18,4,0,1,1,4,8,0,2,1,0,1,0,3,29,0,141,6,3,150,0,150,--,264,114,141,150,150,Algún campo sin dato,1,96b87598c349a06216476781782f31d1091a0dfe0e1dd53c29a038603d55a5db,25/06/2023 23:28:51,ESCANER
18670,"Alta Verapaz",16,"Cobán",1,2875,263,11,0,31,1,2,1,2,0,3,9,0,0,0,0,1,3,0,2,4,0,1,1,0,21,0,93,11,0,104,0,104,--,263,159,93,104,104,Algún campo sin dato,1,43f379345025eccee26be896efa67eeb8e21ff55a3723c6c8a25459a5823519e,25/06/2023 23:09:07,ESCANER
18671,"Alta Verapaz",16,"Cobán",1,2876,400,53,2,52,0,4,6,4,4,8,51,1,3,3,5,2,7,2,1,8,0,1,2,5,25,0,249,31,3,283,0,283,--,400,117,249,283,283,Algún campo sin dato,1,3b0dfc587aa55e99ff859f5c8d47f1e895db547a54d6c8b7434d0cd2cfe5daa5,26/06/2023 01:23:26,ESCANER
18672,"Alta Verapaz",16,"Cobán",1,2876,205,26,0,22,1,5,3,2,0,2,18,4,3,2,1,1,5,1,0,3,2,0,0,0,13,1,115,10,1,126,0,126,--,208,82,115,126,126,Algún campo sin dato,1,629f2e42a89d839331d68100aa7a51f4613b690b4ce28f5ca8f857a8c07c5bd7,26/06/2023 00:11:01,MOVIL
18673,"Alta Verapaz",16,"Cobán",1,2876,205,21,0,17,1,4,3,0,1,2,20,5,0,1,3,3,2,0,0,1,0,0,0,0,12,1,97,9,2,108,0,108,--,205,97,97,108,108,Algún campo sin dato,1,a176801bfcd65fe994559082b17ac2723d67103842df037ec98249d7eae90223,26/06/2023 00:25:25,ESCANER
18674,"Alta Verapaz",16,"Cobán",1,2877,386,8,3,78,0,17,5,20,17,14,12,3,0,1,0,11,4,0,0,3,1,3,0,0,83,3,286,9,0,295,0,295,--,390,95,286,295,295,Algún campo sin dato,1,1c03aadaed2fc14e50839b8b2e37de27eef2cbcdf8cea8723ea8b781445c99b4,26/06/2023 03:31:28,ESCANER
18675,"Alta Verapaz",16,"Cobán",1,2878,400,60,2,55,2,10,3,3,3,5,30,3,0,1,1,4,10,1,1,4,2,3,0,7,27,0,237,39,2,278,0,278,--,400,122,237,278,278,Algún campo sin dato,1,154a6edfa16eacf472e93bbfca0d5e348dca6c7066691b10773656e996b6dff8,26/06/2023 01:53:25,ESCANER
