TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
130,130,100.0000,130,100.0000,0,47515,32039,67.4292

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,CABAL,CAMBIO,PHG,VALOR,AZUL,PPN,ELEFANTE,WINAQ,VIVA,FCN-NACION,VAMOS,CREO,VOS,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19350,"Alta Verapaz",16,"Senahú",8,2970,380,108,58,1,6,3,1,55,0,0,0,1,9,0,0,1,243,18,2,263,0,263,--,380,117,243,263,263,Algún campo sin dato,1,bff689c8124db6b3106f592ee100f20c34392fdc3c6a3b7a08b8452ed73bceca,26/06/2023 05:55:30,ESCANER
19351,"Alta Verapaz",16,"Senahú",8,2970,380,105,67,2,4,1,0,60,0,0,0,0,10,0,0,0,249,13,6,268,0,268,--,380,112,249,268,268,Algún campo sin dato,1,2adef1788df6b5e4e64f142d0a168c2c65c37f3ce60d7949ad1f677acd4c21b3,26/06/2023 06:22:55,ESCANER
19352,"Alta Verapaz",16,"Senahú",8,2970,380,88,61,1,5,4,2,51,0,0,1,1,4,0,0,0,218,14,4,236,2,238,--,380,142,218,236,238,Algún campo sin dato,1,6f333e66037e73e5c5a032a9277b85fc92075335b7ac4c5a7e185326a51ca205,26/06/2023 06:32:57,ESCANER
19353,"Alta Verapaz",16,"Senahú",8,2970,380,91,44,1,10,3,0,54,0,1,0,0,11,1,0,0,216,2,2,220,0,220,--,380,160,216,220,220,Algún campo sin dato,1,f8c3ffafae188a68decb0a528c15bd911e11ffcc3a40552df7a9def77b3f31f8,26/06/2023 06:10:42,ESCANER
19354,"Alta Verapaz",16,"Senahú",8,2970,262,60,45,0,5,1,1,34,0,0,0,0,5,0,0,0,151,2,2,155,1,156,--,262,106,151,155,156,Algún campo sin dato,1,ac862f2b1a6ac972ee53668c6ea70889971befe8cb77a0dd9f7943bfb0eaf5c2,26/06/2023 05:56:20,ESCANER
19355,"Alta Verapaz",16,"Senahú",8,2970,262,63,43,0,5,0,1,42,0,0,1,0,7,0,0,0,162,9,4,175,0,175,--,259,84,162,175,175,Algún campo sin dato,1,c8ca32f3494b5dc423b195df07a2167c892e9114716b87df149079209b7e608b,26/06/2023 06:02:13,ESCANER
19356,"Alta Verapaz",16,"Senahú",8,2971,380,86,33,0,7,10,2,74,11,0,0,1,31,0,1,1,257,24,4,285,0,285,--,380,95,257,285,285,Algún campo sin dato,1,76016089473d7789d9e7fbabaa9cfa0764bf973d06795d8a795d726e6396f946,26/06/2023 03:32:26,ESCANER
19357,"Alta Verapaz",16,"Senahú",8,2971,380,111,29,0,11,7,1,89,3,0,0,5,55,0,0,0,311,10,8,329,0,329,--,379,50,311,329,329,Algún campo sin dato,1,3dc5072598fcf88a50e4dc1488acfd9843e69c53618a456cf34ead1f2d94a7b1,26/06/2023 03:24:05,ESCANER
19358,"Alta Verapaz",16,"Senahú",8,2971,380,103,24,0,8,19,3,64,11,1,1,0,22,0,0,0,256,30,7,293,0,293,--,380,87,256,293,293,Algún campo sin dato,1,fddbdea5c52cd97d733aec3cc5280982ecb7e57b0df8b2f458a913744c71c74a,26/06/2023 03:46:05,ESCANER
19359,"Alta Verapaz",16,"Senahú",8,2971,380,116,25,0,8,2,1,81,6,0,1,5,39,1,0,1,286,22,1,309,0,309,--,380,71,286,309,309,Algún campo sin dato,1,2243dd5e3728556215400eddc7cf88778c93d4ed6838d694aa7dc1c65a9e01c6,26/06/2023 03:41:07,ESCANER
19360,"Alta Verapaz",16,"Senahú",8,2971,380,74,22,1,9,10,1,56,6,1,2,0,37,0,0,0,219,15,3,237,0,237,--,380,143,219,237,237,Algún campo sin dato,1,a98710d0a2b38c2ecd00400f5b2a7d92c3f9c71f12393c7cd1fc166a619140f2,26/06/2023 03:14:21,ESCANER
