TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
83,83,100.0000,83,100.0000,0,30187,18913,62.6527

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNIONISTA,CUM,TODOS,ELEFANTE,PODEMOS,VICTORIA,CREO,VIVA,SEMILLA,PHG,UR,CABAL,PR,AZUL,VOS,PPN,UNE,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13167,"San Marcos",12,"San Marcos",1,1795,388,5,64,92,8,0,4,6,1,28,9,1,9,2,1,9,11,7,257,4,0,261,0,261,0,388,127,257,261,261,,1,1d220e28f2062408806ea981d2075623febf03dd92ab823d6f518433b810b31a,26/06/2023 00:37:02,ESCANER
13168,"San Marcos",12,"San Marcos",1,1796,400,4,58,94,16,1,4,4,5,5,2,4,4,2,3,4,1,12,223,21,5,249,0,249,0,390,141,223,249,249,,1,26733d9cfe866c66aeda28360506dff7755ae66a4e13529a832711bb787f3fa4,26/06/2023 00:25:10,ESCANER
13169,"San Marcos",12,"San Marcos",1,1796,400,1,92,86,15,1,4,3,3,5,2,8,4,1,1,5,0,15,271,23,2,271,1,272,1,400,128,246,271,272,Sumas Asentadas sin cuadrar,1,f04ef2834fe8f91fad7cc49b16a4ab2c5b3f15a1ccc85f490f52801a9814b647,26/06/2023 00:06:15,ESCANER
13170,"San Marcos",12,"San Marcos",1,1796,400,3,59,91,20,2,5,6,4,10,5,2,5,0,3,6,1,11,233,16,1,250,0,250,0,400,150,233,250,250,,1,0f108ce20ddf3a81bb4d9100073101fa699fb08e1c228f5b25d56d883a34e91e,26/06/2023 00:13:32,ESCANER
13171,"San Marcos",12,"San Marcos",1,1796,400,5,85,100,13,0,6,6,3,5,3,3,7,1,0,3,0,9,249,11,4,264,0,264,0,400,136,249,264,264,,1,11052f3ca7997a9b967bdc55173f33d38e3023f3889006415a3a4a0990338280,26/06/2023 01:05:56,ESCANER
13172,"San Marcos",12,"San Marcos",1,1796,400,8,73,96,8,1,4,3,4,0,4,4,8,2,0,2,0,9,225,11,6,17,0,242,--,400,242,226,243,243,Sumas Asentadas sin cuadrar,1,f4618c3fc42b3bade7cd4e5c7dcd6224d2dbe52e1698118e425dc505f1e9588e,26/06/2023 00:24:48,ESCANER
13173,"San Marcos",12,"San Marcos",1,1796,275,5,47,58,3,3,7,6,1,5,4,8,0,0,3,1,0,10,161,3,0,164,0,164,0,272,108,161,164,164,,1,0b219335fd61f9ee12c9f0216740fd8b592f39700c1cb947ce546fc30bb3ec1d,25/06/2023 23:41:38,ESCANER
13174,"San Marcos",12,"San Marcos",1,1796,274,0,49,64,6,1,6,4,1,3,3,0,1,1,0,3,0,5,147,7,2,156,9,165,--,274,109,147,156,165,Algún campo sin dato,1,0a565bbb525e7212fdeec179675efb1b9e8828fd6e96edaacd573f4d435c41dc,25/06/2023 20:49:22,ESCANER
13175,"San Marcos",12,"San Marcos",1,1797,380,3,99,70,8,1,2,0,3,3,1,0,4,0,3,1,0,17,215,19,5,239,0,239,0,380,141,215,239,239,,1,d897616734af66759d9927333b67b5a8e6bce6b70d874a325e2d22c3e99f962d,25/06/2023 23:05:12,ESCANER
13176,"San Marcos",12,"San Marcos",1,1797,380,0,116,92,0,0,1,1,1,1,0,3,5,0,4,1,0,19,244,12,1,257,0,257,0,380,123,244,257,257,,1,ba3109a6460920418c8b136acbe51cd0ec549986ee307fb2acea85cab94bc27a,25/06/2023 23:18:20,ESCANER
13177,"San Marcos",12,"San Marcos",1,1797,380,4,82,68,2,1,1,3,5,0,2,1,2,0,3,1,1,10,186,25,1,212,0,212,0,380,168,186,212,212,,1,fe923db0eac89a2f5d5208b8912bd118bb470a578ead897f00c65bc479bc7481,25/06/2023 23:56:50,ESCANER
13178,"San Marcos",12,"San Marcos",1,1797,380,7,91,57,3,0,1,3,3,1,2,0,2,0,6,2,1,8,187,9,2,198,0,198,1,380,182,187,198,198,,1,9a335ba48014cd588e8352ae20c93dcec95ae05b63b34b9ec8d05ee07b5f26c3,26/06/2023 00:46:30,ESCANER
13179,"San Marcos",12,"San Marcos",1,1797,200,1,41,43,2,0,0,0,1,1,0,0,1,0,4,0,0,7,101,9,1,111,0,111,0,197,86,101,111,111,,1,fe505a7f1ab351fc1d0ab4d1f9d19508395e24fcba1b30e89c9867a360792896,25/06/2023 22:24:20,ESCANER
13180,"San Marcos",12,"San Marcos",1,1797,199,2,52,38,0,0,0,1,0,2,1,1,2,0,1,0,0,3,103,2,0,105,0,105,0,199,94,103,105,105,,1,8a88c8efa1959dc16653529d6d8c6c6fc77cf63d7f76a235e655b0eea6fc89a0,25/06/2023 22:58:18,ESCANER
13181,"San Marcos",12,"San Marcos",1,1798,380,3,55,98,3,0,8,2,5,3,4,7,4,0,3,1,0,5,201,37,9,247,0,247,0,380,133,201,247,247,,1,c739124294fdb8ab23b5a19046a1f1e3881519be54e2b7b5ba1b7e360ea474a7,26/06/2023 00:06:37,ESCANER
13182,"San Marcos",12,"San Marcos",1,1798,380,6,47,96,1,1,5,2,1,0,4,5,3,0,6,1,2,8,188,15,9,212,0,212,0,377,165,188,212,212,,1,92476faf9cb9b0fa6f5d31a26075f16585f749899acd7b07e04ea2c26d66cdfa,26/06/2023 01:15:39,ESCANER
13183,"San Marcos",12,"San Marcos",1,1798,380,3,45,96,3,1,9,6,3,1,3,7,4,1,2,0,1,6,191,15,6,212,2,214,2,380,166,191,212,214,,1,b21fac7657e3d55bbbdfa626893e4ff805ea7d0e4676ad074c0f41d594c52e67,25/06/2023 23:51:12,ESCANER
