TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
303,303,100.0000,299,98.6798,4,118863,69977,58.8719

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,VALOR UNIONISTA,VICTORIA,VAMOS,UR,PHG,MLP,PODEMOS,MI FAMILIA,PPN,CREO,URNG-MAIZ WINAQ,CABAL,UNE,BIEN,ELEFANTE,SBX,AZUL,PX,FCN-NACION,PR,VIVA,SEMILLA,CAMBIO,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10442,"Quetzaltenango",9,"Quetzaltenango",1,1377,400,3,21,6,9,3,80,8,1,7,3,20,3,5,4,8,0,48,2,24,3,0,1,9,0,1,269,16,0,285,0,285,--,400,115,269,285,285,Algún campo sin dato,1,a0ec770efdef8472fe950f47c22599f991a5113dcf9debaf4cd8030bff17a62b,26/06/2023 04:28:22,ESCANER
10443,"Quetzaltenango",9,"Quetzaltenango",1,1378,400,9,18,2,17,3,86,6,0,8,1,12,10,2,9,3,0,46,4,13,2,1,0,11,6,5,274,8,5,287,0,287,--,400,113,274,287,287,Algún campo sin dato,1,1984f23f4c57e9917692d5954f8c6dd85e49d86a347f353661c5da205f47ebbf,26/06/2023 00:46:30,ESCANER
10444,"Quetzaltenango",9,"Quetzaltenango",1,1378,400,9,30,9,12,3,64,9,2,12,1,15,3,3,8,3,5,45,1,13,3,1,1,11,4,5,272,4,1,277,0,277,--,400,123,272,277,277,Algún campo sin dato,1,fb69f77aacb095851b9706b220988f1ab84476fc6cce7b4271e3543cd6187d84,26/06/2023 03:08:54,ESCANER
10445,"Quetzaltenango",9,"Quetzaltenango",1,1378,400,10,29,5,11,0,75,13,0,11,3,11,4,4,9,4,4,40,0,21,0,2,5,8,3,4,281,10,2,293,1,294,--,--,--,276,288,289,Sumas Asentadas sin cuadrar,1,1f03a1c6186d62d54c43555a59018ec0e1c1b4f4adde257a28582bf1cb3b84a6,26/06/2023 03:25:09,ESCANER
10446,"Quetzaltenango",9,"Quetzaltenango",1,1378,400,2,30,3,8,1,80,4,0,6,3,11,7,6,13,8,1,43,3,21,1,3,2,11,3,5,277,7,3,287,0,287,--,400,113,275,285,285,Sumas Asentadas sin cuadrar,1,5bb301bcff757413a699eeb68b0dc27242d383e2302c3db624ae8cb33b6f92ce,26/06/2023 01:51:17,ESCANER
10447,"Quetzaltenango",9,"Quetzaltenango",1,1378,400,9,33,8,11,3,71,4,0,15,2,10,7,1,6,3,4,36,4,21,6,4,2,10,0,3,243,12,2,287,--,287,--,400,113,273,287,287,Sumas Asentadas sin cuadrar,1,09ba38e17d3320f61f95f7f2dea50bcc4c253c27d201cb083c5b27322c5a0aa8,26/06/2023 04:35:04,ESCANER
10448,"Quetzaltenango",9,"Quetzaltenango",1,1378,400,11,33,7,10,3,66,6,2,9,6,10,3,3,7,8,3,36,4,17,1,3,2,11,2,4,267,9,0,276,--,276,--,400,124,267,276,276,Algún campo sin dato,1,b592f3ac1b55fcfe6b7021c1e112431cbb9d9ad16f7ce6e5a98f2b4b8c8492a7,26/06/2023 01:38:40,ESCANER
10449,"Quetzaltenango",9,"Quetzaltenango",1,1379,400,5,24,7,12,1,89,12,1,6,--,20,--,1,9,8,3,33,2,18,3,2,--,7,4,4,271,12,--,283,--,283,--,400,117,271,283,283,Algún campo sin dato,1,02e6e0ee69b11b99893458c455662291488ab64c5cccc5f21ebccf0e7c45882d,26/06/2023 02:53:46,ESCANER
10450,"Quetzaltenango",9,"Quetzaltenango",1,1379,400,0,31,7,10,1,64,14,0,11,1,7,10,5,10,5,1,33,1,12,4,5,0,6,1,8,253,15,3,271,0,271,--,399,128,247,265,265,Sumas Asentadas sin cuadrar,1,07695e9669d8b0e250d4959a20d452a29400de853635dfa727c49a2e0bb77cc6,26/06/2023 03:44:31,ESCANER
10451,"Quetzaltenango",9,"Quetzaltenango",1,1379,400,5,35,10,8,3,70,7,2,6,5,11,3,3,7,6,4,40,1,9,2,3,2,7,6,7,262,9,2,273,0,273,1,400,126,262,273,273,,1,0bcf044c8b94f6866d9ebb054c358469ae67d9016d70ec13ea65d8eb55bc084b,26/06/2023 02:07:49,ESCANER
