TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
94,94,100.0000,94,100.0000,0,33993,20959,61.6568

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,VALOR,UNE,CABAL,VAMOS,VOS,VICTORIA,CAMBIO,MLP,PPN,PODEMOS,AZUL,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
10050,"Totonicapán",8,"San Francisco El Alto",3,1300,380,2,21,161,16,7,2,2,0,2,1,8,1,0,223,14,14,251,0,251,0,380,129,223,251,251,,1,90c243fbcc806b9bf4665c193be25c42c3cdc6314ca2147077d056440c70d049,25/06/2023 22:59:19,ESCANER
10051,"Totonicapán",8,"San Francisco El Alto",3,1300,380,3,25,191,9,10,2,1,1,1,2,5,0,2,252,7,6,265,0,265,0,380,115,252,265,265,,1,8375ac1bbda1fff66c49407fc18f1b5fdc682008cf95bcfacba74facc3d52d1a,25/06/2023 23:33:45,ESCANER
10052,"Totonicapán",8,"San Francisco El Alto",3,1300,380,2,19,176,7,10,1,2,0,1,1,13,1,1,234,7,3,244,0,244,0,380,132,234,244,244,,1,6976e1a8a6e3409cf8ec70edd4cc5612d0a9489d20d7f4aecce21dfe494a5660,25/06/2023 23:25:57,ESCANER
10053,"Totonicapán",8,"San Francisco El Alto",3,1300,380,2,24,171,8,9,1,0,0,1,2,3,2,1,224,17,6,247,0,247,0,380,133,224,247,247,,1,c72565ce8ab725a28a1b3eb609fc1ea5efacf69af147db196083395b36c5f4a5,26/06/2023 00:16:21,ESCANER
10054,"Totonicapán",8,"San Francisco El Alto",3,1300,380,3,16,169,8,2,3,2,2,1,0,2,1,0,209,18,7,234,0,234,0,379,145,209,234,234,,1,7c846d8320055bb02f02921f3bf9d7a2ab2f0e18f3d7c292caca956b28c03672,26/06/2023 00:37:17,ESCANER
10055,"Totonicapán",8,"San Francisco El Alto",3,1300,380,2,19,162,12,6,2,2,0,0,0,5,0,0,210,9,12,231,0,231,0,378,147,210,231,231,,1,7367380e7789808a48c3143e627ad50cff7f8ef151f8432a4feb4bb95a8473de,25/06/2023 23:38:56,ESCANER
10056,"Totonicapán",8,"San Francisco El Alto",3,1300,380,5,23,174,13,6,2,1,0,2,2,5,4,0,237,13,11,261,0,261,0,380,119,237,261,261,,1,c2aabb91ef0d1119d4c86e4d3133d8e0dea89eac97cb3806ad0e9802384484ca,25/06/2023 23:15:57,ESCANER
10057,"Totonicapán",8,"San Francisco El Alto",3,1300,380,4,23,192,13,11,0,1,0,0,0,5,0,0,249,23,7,279,0,279,0,377,98,249,279,279,,1,94d9589f34e1753c1876d4224ede17e30e1eea054a74258280dd5bfd8483e978,25/06/2023 22:39:25,ESCANER
10058,"Totonicapán",8,"San Francisco El Alto",3,1300,380,1,24,186,5,4,1,2,3,1,0,1,1,0,229,2,6,237,0,237,0,380,143,229,237,237,,1,21c49e60783851c734b13172924fe48920a3bc6712bfd98f57e2086afa1dd01f,26/06/2023 00:09:08,ESCANER
10059,"Totonicapán",8,"San Francisco El Alto",3,1300,380,4,19,183,5,5,1,1,1,0,1,7,2,0,229,4,5,238,0,238,0,380,142,229,238,238,,1,14eb477702edf23273903da379f60b8d324f4ffaa37fa37c85006ee71d725b7e,25/06/2023 23:56:22,ESCANER
