TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
210,180,85.7142,178,84.7619,2,68908,39359,57.1181

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,BIEN,PHG,UNE,PPN,AZUL,VOS,UR,CABAL,CAMBIO,U R N G - MAIZ,TODOS,FCN-NACION,VICTORIA,P A N,CREO,VIVA,UNIONISTA,ELEFANTE,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2460,"Guatemala",1,"Chinautla",6,215,400,32,25,74,67,2,2,27,1,2,2,2,2,1,7,2,2,4,1,7,7,269,11,--,270,--,279,--,396,117,269,280,280,Sumas Asentadas sin cuadrar,1,24d7f36da3dfeb99ee24dcc3eaa775cb234f28a561b9cb9ed6f9bc36da7cc386,26/06/2023 05:15:58,ESCANER
2461,"Guatemala",1,"Chinautla",6,215,400,31,23,101,47,1,1,15,0,1,2,14,1,1,1,3,3,0,2,7,4,258,10,2,270,0,270,--,400,130,258,270,270,Algún campo sin dato,1,41756474a43aeddf6d83dc3762bd4d5fe446abb56072da55afde8be664278c2b,26/06/2023 00:36:35,ESCANER
2462,"Guatemala",1,"Chinautla",6,216,368,17,17,53,31,1,1,13,0,1,2,5,0,0,2,1,2,2,1,3,6,158,10,3,171,0,171,--,368,197,158,171,171,Algún campo sin dato,1,29bfc54f6e430fa99defaf4419f084c1e3205caf7d4b3c1ef330879521bd24d4,25/06/2023 23:01:39,ESCANER
2463,"Guatemala",1,"Chinautla",6,216,367,15,21,34,32,1,0,11,0,3,1,7,3,0,2,0,0,3,0,1,6,140,7,1,148,0,148,--,367,219,140,148,148,Algún campo sin dato,1,2bbfac81c3464994b7c5962926c4e2b639a4c5ef180d6fd35d7674e91a065d93,25/06/2023 23:51:19,ESCANER
2464,"Guatemala",1,"Chinautla",6,217,400,37,25,41,52,6,1,13,3,3,9,12,1,1,5,2,3,7,2,1,5,229,16,5,250,0,250,1,400,149,229,250,250,,1,56b46316470dfb506f227660e9d3ae07b2d033d84c12613609b7f2ffac84cc57,26/06/2023 00:37:36,ESCANER
2465,"Guatemala",1,"Chinautla",6,217,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2466,"Guatemala",1,"Chinautla",6,217,400,35,32,55,43,3,2,8,3,3,3,11,3,2,1,1,2,6,1,3,10,227,16,1,244,0,244,--,400,156,227,244,244,Algún campo sin dato,1,2343fa87f099ebaef1846eee948cac860678ccd6d8308ba704d39f89980bf0c6,26/06/2023 00:31:44,ESCANER
2467,"Guatemala",1,"Chinautla",6,217,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2468,"Guatemala",1,"Chinautla",6,217,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2469,"Guatemala",1,"Chinautla",6,217,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
