TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
86,86,100.0000,86,100.0000,0,31570,17878,56.6297

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,WINAQ,PHG,UNE,SEMILLA,U R N G - MAIZ,CABAL,MLP,VAMOS,VICTORIA,TODOS,PODEMOS,CREO,ELEFANTE,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13414,"San Marcos",12,"Comitancillo",4,1843,342,0,22,63,16,1,0,17,0,26,0,0,0,0,0,0,145,10,3,158,0,158,0,342,184,145,158,158,,1,4324daa09201da97c582549d00013a0fe09ee62abda8c2ced7f27008b0c5b24a,26/06/2023 01:23:52,ESCANER
13415,"San Marcos",12,"Comitancillo",4,1843,342,0,15,85,14,1,0,24,0,28,0,0,0,0,0,1,168,5,2,175,0,175,0,339,164,168,175,175,,1,2b8ac085380bee5357fe091bf7abe5b28956be2d4c3567436e22c43d4548f482,26/06/2023 01:19:09,ESCANER
13416,"San Marcos",12,"Comitancillo",4,1844,380,9,7,46,65,1,1,13,2,39,1,1,1,5,1,1,193,28,10,231,0,231,0,380,149,193,231,231,,1,cb51934b5837bb2db47d469e3c7714d7469fe2fe1f825edb2e7f3a33f8c4bfdb,26/06/2023 01:42:25,ESCANER
13417,"San Marcos",12,"Comitancillo",4,1844,380,6,6,48,65,3,2,11,1,53,3,3,0,1,0,0,202,46,10,258,0,258,--,380,118,202,258,258,Algún campo sin dato,1,e8c84d782b52dfdb2f8dbeb5b0f19beccd24f1ae57a42b32ea611a8eac761f5b,26/06/2023 03:36:19,ESCANER
13418,"San Marcos",12,"Comitancillo",4,1844,380,9,2,46,66,1,4,16,0,45,2,3,0,0,0,1,195,29,8,232,0,232,--,380,148,195,232,232,Algún campo sin dato,1,3a9916411f0f4ca63d229fc5aaf60368c4c6b0542761a61057c1f7f21d2c2a9f,26/06/2023 00:39:48,ESCANER
13419,"San Marcos",12,"Comitancillo",4,1844,380,5,4,31,45,1,2,6,1,35,2,0,0,0,0,0,132,27,4,163,0,163,--,380,217,132,163,163,Algún campo sin dato,1,c3904038a87d43aef3e8daa4f5d379f272bec1178f1b0ed052dd4ce5ef89ff8d,26/06/2023 03:01:25,ESCANER
13420,"San Marcos",12,"Comitancillo",4,1844,279,5,4,17,28,3,0,6,0,14,0,1,0,0,0,0,78,24,5,107,0,107,0,279,172,78,107,107,,1,5bcd35451c5c9939d1306f8727f851e6ca77b1626ec9bdb71a58c8bb25f5fc13,26/06/2023 03:17:09,ESCANER
13421,"San Marcos",12,"Comitancillo",4,1844,279,4,5,20,14,1,0,5,0,15,1,1,0,0,0,0,66,5,4,75,0,75,0,279,201,66,75,75,,1,b16a2de142e298d32cefd54b127c5e7b9c682aacb6f8c6b7f723d52c225e82d3,26/06/2023 03:13:54,ESCANER
13422,"San Marcos",12,"Comitancillo",4,1845,380,1,85,30,71,1,1,2,0,28,1,3,0,0,4,1,228,19,3,250,0,250,--,38,130,228,250,250,Algún campo sin dato,1,edd06e78bd7d1b672e4b5e49b38c93cc4e5f69b969a6cafa549ec7df89aca323,26/06/2023 00:55:06,ESCANER
13423,"San Marcos",12,"Comitancillo",4,1845,380,1,85,30,85,5,0,4,0,28,1,0,0,0,1,0,240,28,4,272,0,272,0,380,108,240,272,272,,1,b7b89cfb94aa74607159b52859c34a8597579444fe5477182520c328d2b3efb0,26/06/2023 00:25:55,ESCANER
