TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
640,640,100.0000,636,99.3750,4,252887,149402,59.0785

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,BIEN,CABAL,MLP,UNE,PPG,PIN,PHG,WINAQ,VIVA,ELEFANTE,TODOS,AZUL,U R N G - MAIZ,UR,PODEMOS,PR,VALOR,MI FAMILIA,CAMBIO,PPN,VICTORIA,SEMILLA,P A N,VOS,FCN-NACION,CREO,UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
4296,"Guatemala",1,"Villa Nueva",15,444,400,36,25,12,4,7,9,4,1,3,6,9,2,17,12,0,1,4,25,2,4,0,3,29,1,11,0,6,5,242,18,1,261,0,261,--,400,139,238,257,257,Sumas Asentadas sin cuadrar,1,34f1a03cb8ab8b1f2a8c9b864720410557073ede14bf39f1a772ec6d3b11f1f5,26/06/2023 01:35:56,ESCANER
4297,"Guatemala",1,"Villa Nueva",15,444,400,42,24,9,3,8,9,6,3,2,7,8,3,2,1,19,4,0,21,5,4,2,5,34,1,10,1,2,5,240,8,1,249,0,249,--,400,151,240,249,249,Algún campo sin dato,1,3fa59dfb426aacd8499573a940d2edd1c51c34d0f4cffb9c1dc24e18f7148278,25/06/2023 23:56:02,ESCANER
4298,"Guatemala",1,"Villa Nueva",15,444,400,34,24,17,2,4,0,1,2,2,4,5,2,3,7,12,1,1,27,2,2,1,0,42,1,13,0,1,4,228,11,0,239,0,239,--,400,161,214,225,225,Sumas Asentadas sin cuadrar,1,a585235aa4cb144c6fdf2a02a1152d4f7c018beb1af3fa71825695d7218d896e,26/06/2023 02:31:06,ESCANER
4299,"Guatemala",1,"Villa Nueva",15,444,400,21,14,16,7,4,9,5,2,5,4,3,1,3,12,13,3,0,21,1,4,1,5,73,1,10,1,5,4,248,8,0,256,0,256,1,400,140,248,256,256,,1,fe687abf46fb46dc053d1bd5d4e017c7ace802cfefe87b4868a05bee3cacc82b,26/06/2023 02:40:08,ESCANER
4300,"Guatemala",1,"Villa Nueva",15,444,367,36,16,9,3,3,12,5,1,1,0,2,4,0,5,15,0,0,19,2,1,1,1,59,0,6,0,0,4,205,7,2,214,0,214,--,364,150,205,214,214,Algún campo sin dato,1,7075fe660d6887c771a04d779ee23bb6cacc1baa3ab565bcbc772fbd7761c606,26/06/2023 00:10:03,ESCANER
4301,"Guatemala",1,"Villa Nueva",15,444,367,30,14,13,0,3,7,3,0,6,2,2,2,5,4,15,1,0,16,1,4,3,2,81,1,7,0,1,5,228,12,1,241,0,241,--,367,126,228,241,241,Algún campo sin dato,1,e7c47d94dda44df13a33abda7af117162969cc2897e674bc49d3c89041f99480,26/06/2023 01:20:32,ESCANER
4302,"Guatemala",1,"Villa Nueva",15,445,400,17,11,13,2,6,16,7,2,3,9,8,1,5,6,30,4,1,34,4,5,1,4,30,1,8,0,5,3,236,19,5,260,0,260,--,400,140,236,260,260,Algún campo sin dato,1,046a135679367b99e7623e828d037118d6b6c05c30a45ad181c7509fac130fd8,26/06/2023 02:49:26,ESCANER
4303,"Guatemala",1,"Villa Nueva",15,445,400,23,27,13,2,7,25,8,0,3,13,12,3,3,6,20,1,0,34,3,5,4,5,31,0,3,0,4,3,258,23,4,285,1,286,--,403,118,258,285,286,Algún campo sin dato,1,b0fe03cb5e7f74730cb6cd6ba234327cfca41af4ee2955af4f6e8a6afa66893d,26/06/2023 01:37:19,MOVIL
4304,"Guatemala",1,"Villa Nueva",15,445,400,11,4,6,2,12,1,2,1,11,17,9,1,1,0,6,1,3,15,12,1,1,3,55,4,23,2,9,0,213,57,6,276,0,276,--,400,124,213,276,276,Algún campo sin dato,1,4faf85730c6753ce5cc3e18f5997b0193aec4fc61b7da83ae05085a7586b0947,26/06/2023 02:16:08,ESCANER
4305,"Guatemala",1,"Villa Nueva",15,445,400,19,20,14,1,6,16,3,0,3,11,12,6,1,6,28,5,1,28,11,6,2,4,20,2,6,1,3,4,239,24,2,265,0,265,--,400,135,239,265,265,Algún campo sin dato,1,965108e1301fd7ed22417c3bdf9125049ddfeeec48edb508fa642922cd37a7af,25/06/2023 23:45:39,ESCANER
