TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
58,58,100.0000,58,100.0000,0,22477,12966,57.6856

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,UNE,PODEMOS,VALOR,BIEN,CAMBIO,VIVA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15960,"Huehuetenango",13,"Santa Eulalia",17,2345,400,45,94,62,6,17,3,0,1,228,6,10,244,0,244,--,400,156,228,244,244,Algún campo sin dato,1,5adc927c22ca625eef9e30b09186bfdb1e35439e8f4af160a95e4c26e3ecd511,25/06/2023 23:45:27,ESCANER
15961,"Huehuetenango",13,"Santa Eulalia",17,2345,400,37,87,98,9,19,0,1,3,254,8,7,269,1,270,--,400,130,254,269,270,Algún campo sin dato,1,50cf56881c3cb62e94cf78ac485d2b0df4b4f72f447f416a23705c04c0103080,26/06/2023 02:32:13,ESCANER
15962,"Huehuetenango",13,"Santa Eulalia",17,2345,400,51,97,70,3,25,2,0,1,249,10,13,272,128,400,--,400,128,249,272,400,Algún campo sin dato,1,4dd3e3a1bfc024143e2bef123929de47bd17d76a8fadb19c81a0bf5e46c02238,26/06/2023 00:52:54,ESCANER
15963,"Huehuetenango",13,"Santa Eulalia",17,2345,400,66,83,63,4,15,1,0,2,234,10,10,254,0,254,--,400,146,234,254,254,Algún campo sin dato,1,344262ef8d3105bcc191cd2a41b8d011ba926e10183ae39dcf508d3ca54f0acc,26/06/2023 00:17:31,ESCANER
15964,"Huehuetenango",13,"Santa Eulalia",17,2345,400,50,81,76,7,20,4,0,0,238,15,12,265,3,268,--,400,132,238,265,268,Algún campo sin dato,1,3a4d6503659b5c9c22e8c1d6f4d76203dafeb8407ada604bf76a783e657c3e9e,26/06/2023 01:05:44,ESCANER
15965,"Huehuetenango",13,"Santa Eulalia",17,2345,400,55,62,84,13,10,4,1,1,230,9,5,244,0,244,--,400,156,230,244,244,Algún campo sin dato,1,52194b9093a7e316aae28505d58b72150b05bab5bb8185d4001190b9cba3e0eb,26/06/2023 00:30:12,ESCANER
15966,"Huehuetenango",13,"Santa Eulalia",17,2345,400,46,85,68,9,18,3,0,1,230,4,4,238,162,400,--,400,162,230,238,400,Algún campo sin dato,1,a4b6389ca27ecddb86ef85efee8e84b36a03aa9fbfa4e19e40b616946383e2ce,26/06/2023 00:49:10,ESCANER
15967,"Huehuetenango",13,"Santa Eulalia",17,2345,400,55,61,56,13,18,1,0,1,205,7,7,219,0,219,--,400,181,205,219,219,Algún campo sin dato,1,a20c3d00d43b917d45da71594ee1a49aa8721bb1394ab551891cb04abe671907,25/06/2023 23:52:08,ESCANER
15968,"Huehuetenango",13,"Santa Eulalia",17,2346,400,60,55,71,5,13,2,1,0,207,6,2,215,2,217,--,400,183,207,215,217,Algún campo sin dato,1,04683424f79ef4e7f7777a23cdc1e5e89a6d94d4a2e5c4da1a55ed3c523636ad,25/06/2023 23:03:09,ESCANER
15969,"Huehuetenango",13,"Santa Eulalia",17,2346,400,42,72,65,10,13,2,0,0,204,10,10,224,0,224,--,400,176,204,224,224,Algún campo sin dato,1,8ae2224d08b7103d63ed90337dede0e17fc027d33336f19e4a7ae6f051059a6f,26/06/2023 02:07:31,ESCANER
15970,"Huehuetenango",13,"Santa Eulalia",17,2346,400,43,73,62,8,14,1,1,2,204,11,8,223,0,223,--,397,174,204,223,223,Algún campo sin dato,1,660e7c9d25d53b9b4e430c215063c565be9afb00bbb7d804d0c9e8fa0a6d45f7,26/06/2023 03:15:42,MOVIL
