TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,97,100.0000,0,36452,19514,53.5334

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,VALOR,MLP,VIVA,ELEFANTE,CAMBIO,UNE,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21877,"Izabal",18,"Los Amates",5,3390,380,101,77,1,0,7,1,0,50,0,237,11,1,249,0,249,--,380,131,237,249,249,Algún campo sin dato,1,45f939f89e262f0ffc353cfae3f6b852aed9fe15e24e117c120eae2fddc995c6,26/06/2023 02:47:17,ESCANER
21878,"Izabal",18,"Los Amates",5,3391,380,95,69,0,3,3,0,1,59,0,230,13,1,244,0,244,--,378,134,230,244,244,Algún campo sin dato,1,0c64a9187b41ffc92fa3d7f7db33ae0d406d6513d5a1cf4eac11bcc2bdabc75c,26/06/2023 01:03:47,ESCANER
21879,"Izabal",18,"Los Amates",5,3391,380,79,87,1,0,1,3,1,54,0,226,9,2,237,0,237,--,377,140,226,237,237,Algún campo sin dato,1,05f31c1c36fc9cca917f847f57f0d00accf1058dbbd0ae811ef423f9a26234b8,26/06/2023 00:24:32,ESCANER
21880,"Izabal",18,"Los Amates",5,3391,380,91,79,0,0,2,0,0,27,0,199,3,0,202,0,202,--,380,178,199,202,202,Algún campo sin dato,1,14516c263b8292779131530424b0c0cd3a75f291182a3fc9e981a9f8d1ddd894,26/06/2023 00:14:09,ESCANER
21881,"Izabal",18,"Los Amates",5,3391,336,84,83,1,0,4,2,1,29,1,205,3,1,209,1,210,--,336,126,205,209,210,Algún campo sin dato,1,321a5f4a29294d74aa3b81db02b490fd401b11ee682af263cfb379c5362ca200,26/06/2023 00:29:48,ESCANER
21882,"Izabal",18,"Los Amates",5,3391,336,64,52,1,0,3,0,0,38,1,159,1,3,163,1,164,--,336,172,159,163,164,Algún campo sin dato,1,ee20b04d873034bf8fbc08efb7c8f6c834cf3c32bfe31392e69b72c19b403268,25/06/2023 23:13:03,ESCANER
21883,"Izabal",18,"Los Amates",5,3392,600,58,48,1,3,2,2,1,37,0,152,14,0,166,0,166,--,600,434,152,166,166,Algún campo sin dato,1,4b85ca3db21490b9e8ce49cf48c14413993acc182f76b215372147ee678fe42b,26/06/2023 00:07:55,ESCANER
21884,"Izabal",18,"Los Amates",5,3392,600,42,55,2,0,2,0,3,22,0,126,12,6,144,0,144,--,600,456,126,144,144,Algún campo sin dato,1,7929462aa1e68ff3ae8d27ab9224cd0c288546cec4387e223cee131a3465d67f,25/06/2023 23:10:51,ESCANER
21885,"Izabal",18,"Los Amates",5,3392,600,41,36,3,1,3,0,3,34,0,121,12,3,136,0,136,--,600,464,121,136,136,Algún campo sin dato,1,9383d2c3856d4af5ae34e10accf08fc6ba5ab75952dba5be9f00358158ad27a2,25/06/2023 22:59:40,ESCANER
21886,"Izabal",18,"Los Amates",5,3392,600,39,47,1,1,3,--,3,32,--,126,8,7,141,--,--,--,600,459,126,141,141,Algún campo sin dato,1,e6d63a40a2bcfcc6be564b9e32cabb9b5dffbfde6af2799cb0254903dc325a37,25/06/2023 22:46:30,ESCANER
21887,"Izabal",18,"Los Amates",5,3392,600,22,29,1,1,1,0,0,21,1,76,6,3,85,0,85,--,552,467,76,85,85,Algún campo sin dato,1,05014f68906aa1c02454333db180e49880d501e2cd8ca2911403f66d88c7172c,25/06/2023 21:29:04,ESCANER
21888,"Izabal",18,"Los Amates",5,3392,388,6,4,0,0,0,0,0,12,0,22,1,0,23,0,23,--,388,365,22,23,23,Algún campo sin dato,1,bc9d593eba086537d9cea605126ace0f87e5e02fb0ce1218d103195b0415ce7c,25/06/2023 22:05:25,ESCANER
21889,"Izabal",18,"Los Amates",5,3392,387,3,4,0,0,0,0,1,5,0,13,1,0,14,0,14,--,387,373,13,14,14,Algún campo sin dato,1,513d80551e8a3088a5ab655044ebd1b11cf2fd1f1e43313f85d5a9404452d80c,25/06/2023 22:06:58,ESCANER
