TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
91,91,100.0000,91,100.0000,0,34321,23236,67.7019

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,AZUL,MLP,PODEMOS,TODOS,VIVA,VALOR,PHG,UNE,PPN,CAMBIO,UNIONISTA,VOS,URNG-MAIZ WINAQ,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6421,"Chimaltenango",3,"Patzún",7,680,400,88,43,8,11,5,9,8,4,3,39,3,2,15,10,27,275,8,0,283,0,283,--,400,117,275,283,283,Algún campo sin dato,1,1c623f92043cadce028154e60c6564f4201821033d74b18cbd865cfc7a04feee,25/06/2023 23:20:10,ESCANER
6422,"Chimaltenango",3,"Patzún",7,680,400,99,43,5,9,5,8,4,6,3,30,0,1,13,7,28,261,5,2,268,0,268,--,400,132,261,268,268,Algún campo sin dato,1,95b32f076125686e3eb3e8ba7d0aff00a2b18526b21993a37159b802be105b20,25/06/2023 23:47:11,ESCANER
6423,"Chimaltenango",3,"Patzún",7,680,400,95,37,5,7,4,13,12,6,1,37,1,2,15,16,26,277,5,0,282,0,282,--,400,118,277,282,282,Algún campo sin dato,1,9046cad1c49d85f4f86d67ddd8a79f9a17fb59f3d6e02f14d747ad8391c0f8c9,26/06/2023 00:38:08,ESCANER
6424,"Chimaltenango",3,"Patzún",7,680,400,92,40,13,8,3,7,19,9,4,24,1,3,15,13,26,277,3,0,280,0,280,--,400,120,277,280,280,Algún campo sin dato,1,ae4e5b1d27f26a3d274b6ae2a6e49e4c9223ee70a6c7a6ab5d6812d5c4445c25,25/06/2023 22:02:18,ESCANER
6425,"Chimaltenango",3,"Patzún",7,680,400,109,31,10,14,6,9,7,3,3,28,0,2,18,14,43,297,3,0,300,0,300,--,399,99,297,300,300,Algún campo sin dato,1,88dfbd706095898f1e133ea149d760845df0a658959ddaf23bff73e6c1c23b48,25/06/2023 22:21:25,ESCANER
6426,"Chimaltenango",3,"Patzún",7,680,400,105,35,4,5,7,5,20,8,0,48,1,3,12,16,32,301,7,0,308,0,308,--,400,92,301,308,308,Algún campo sin dato,1,fc858c5d4bf0fb3ec887533df085685e9e06813f28d910c50b5a3f569f17617e,25/06/2023 23:13:08,ESCANER
6427,"Chimaltenango",3,"Patzún",7,680,226,42,20,2,4,3,9,8,4,1,26,1,0,10,13,19,162,4,0,166,0,166,--,226,60,162,166,166,Algún campo sin dato,1,ffe79225a43059a13d2994c93950a982a00c42e932265feea161941237e98f13,25/06/2023 22:43:46,ESCANER
6428,"Chimaltenango",3,"Patzún",7,680,226,30,19,3,5,3,6,4,3,0,18,1,0,8,8,9,117,0,1,118,0,118,0,226,108,117,118,118,,1,06d231d94623bf9cd888d078965a7895e5660736ce79c60f30592f89ea6caeaa,25/06/2023 22:27:56,ESCANER
6429,"Chimaltenango",3,"Patzún",7,681,400,39,99,1,8,3,16,6,5,1,48,2,1,25,3,13,270,11,6,287,0,287,0,431,161,270,287,287,,1,509981241fb193ba5c7cdf4d5bccf7fb84c4fada1883602ed05e66cffa56ed3b,25/06/2023 23:18:33,ESCANER
6430,"Chimaltenango",3,"Patzún",7,681,400,35,91,2,15,3,17,4,2,1,61,1,2,32,4,10,295,12,3,295,0,295,0,--,--,280,295,295,Sumas Asentadas sin cuadrar,1,465c2dd47a8999ecdb471a63810d7bcb123049de360d84c74bd8978f19734f07,26/06/2023 01:14:02,ESCANER
6431,"Chimaltenango",3,"Patzún",7,681,400,63,75,3,5,8,18,9,7,2,55,1,3,28,7,11,295,10,6,311,--,311,0,401,90,295,311,311,Algún campo sin dato,1,ce2a44fa3c4f3ad62b33d973aed58dc3b229db0b6830b3c85a75d20cf4ac6292,26/06/2023 00:29:42,ESCANER
6432,"Chimaltenango",3,"Patzún",7,681,400,43,85,2,15,7,15,5,5,0,43,2,3,21,5,16,267,9,15,291,0,291,1,396,104,267,291,291,,1,94c01a4064ad3ad2ebd338621df6776a7a1344503efbd23ed7caf603df083dda,25/06/2023 23:16:27,ESCANER
6433,"Chimaltenango",3,"Patzún",7,681,400,36,73,0,8,9,21,6,2,0,46,1,1,33,7,19,262,8,2,272,0,272,0,400,128,262,272,272,,1,a4457d1a25649dd111576bc0d5c73d0d184b30b4f439fa63f63116da13453cde,26/06/2023 00:43:54,ESCANER
6434,"Chimaltenango",3,"Patzún",7,681,400,35,69,0,10,8,15,6,7,3,60,1,1,32,4,10,261,9,4,274,0,274,0,400,126,261,274,274,,1,1042b1c773fdb76b03c4f89cad2218590d2c697d2f55dd7d5705f657f5590c21,26/06/2023 00:17:41,ESCANER
6435,"Chimaltenango",3,"Patzún",7,681,400,38,65,0,14,7,14,7,6,1,44,2,0,23,3,14,238,9,4,251,0,251,0,390,139,238,251,251,,1,a93b7e049ba4295b367f9ac3e9b583856a4dbbb51c21b24a689e620a1b791a48,25/06/2023 23:28:54,ESCANER
6436,"Chimaltenango",3,"Patzún",7,681,400,36,56,2,4,3,10,5,1,0,43,3,1,24,3,12,203,17,7,227,0,227,0,400,173,203,227,227,,1,f8d8ca8de0fcf40a8845ce357c1a2752c1b6359a22797b0b91a66a8b8a60306e,25/06/2023 23:26:23,ESCANER
6437,"Chimaltenango",3,"Patzún",7,681,400,28,88,2,4,7,12,4,6,1,44,0,0,32,4,11,243,5,5,253,0,253,0,400,147,243,253,253,,1,c302b4f18ca1f39e4438f59545051f7c2759001ba113482e4512ac92efdf058f,25/06/2023 23:12:57,ESCANER
6438,"Chimaltenango",3,"Patzún",7,681,298,49,47,1,10,2,18,9,4,1,36,1,0,16,2,9,205,1,0,206,0,206,0,298,92,205,206,206,,1,cfe8046be4cfca233704f966fcec52a81ea2cd7fd374fb478a1ccbe53b19532f,25/06/2023 22:12:21,ESCANER
6439,"Chimaltenango",3,"Patzún",7,681,298,23,53,0,5,11,10,5,4,0,40,1,1,15,4,10,182,3,1,186,0,186,--,298,112,182,186,186,Algún campo sin dato,1,a71f763c679c54cb708b1ec817999ed87a6b00c0d8ac01d1ca2cb61d05140070,25/06/2023 22:10:04,ESCANER
6440,"Chimaltenango",3,"Patzún",7,682,380,12,159,3,0,3,6,4,2,0,61,0,0,20,1,7,278,10,5,293,0,293,0,380,87,278,293,293,,1,920c688ef73106020e76b096daebf5561e29019863ca5f98dadbcf32c1272631,25/06/2023 22:58:25,ESCANER
6441,"Chimaltenango",3,"Patzún",7,682,380,10,128,9,3,4,7,6,1,2,45,1,0,35,0,12,263,8,2,273,0,273,0,380,107,263,273,273,,1,7e937bb16df7b8d19cc7270c56405625d7d1246e0b483fba800801e66ad62b82,25/06/2023 23:05:42,ESCANER
6442,"Chimaltenango",3,"Patzún",7,682,380,11,88,5,4,4,3,10,1,1,58,0,0,23,4,12,224,10,2,236,0,236,0,380,144,224,236,236,,1,e9f8e1855e0fbe204929655bb9ab9a52df6d4fe29000c65e3130c29dddd3e8a5,26/06/2023 03:01:10,ESCANER
6443,"Chimaltenango",3,"Patzún",7,682,380,7,127,5,1,2,4,9,1,0,66,1,0,18,1,11,253,3,1,257,0,257,0,377,120,253,257,257,,1,62356ff75817f68d13513d927fb66a54c706c0b3de93f41b743d8cf2d329232d,26/06/2023 00:42:56,ESCANER
6444,"Chimaltenango",3,"Patzún",7,682,380,10,109,2,1,1,3,3,1,0,73,1,0,24,1,5,234,4,4,242,0,242,--,377,135,234,242,242,Algún campo sin dato,1,0a70d0e966b7562090d7587cb5dcf0986ae5bcfe46b816b34d13405730acf10e,26/06/2023 02:50:27,ESCANER
6445,"Chimaltenango",3,"Patzún",7,682,226,11,66,2,2,2,4,5,1,3,24,0,0,15,1,5,141,2,0,143,0,143,0,226,83,141,143,143,,1,dd3adfd3a998a74539a72b04f85167bae211045b9f8a08703f679477f00a4bd4,25/06/2023 22:37:31,ESCANER
6446,"Chimaltenango",3,"Patzún",7,682,226,9,81,1,0,2,3,4,2,0,22,0,0,14,2,2,142,4,2,148,0,148,0,224,74,142,148,148,,1,ea1577a6759b42b3b57420e34fda8f19a3c0c4b65849a1f6d8a7811a77a6684e,25/06/2023 22:26:37,ESCANER
6447,"Chimaltenango",3,"Patzún",7,683,380,5,73,3,0,14,10,6,1,0,43,1,0,91,1,1,249,4,2,255,0,255,--,380,125,249,255,255,Algún campo sin dato,1,de394e8a969e7ad714b099fc90437650300bfe8774c22c3490a99dd1f75c4f2e,25/06/2023 22:45:38,ESCANER
6448,"Chimaltenango",3,"Patzún",7,683,380,12,47,0,1,18,6,2,1,1,39,0,0,103,2,3,235,11,10,256,0,256,0,380,124,235,256,256,,1,9fef160a1e46e778d9b71d218d74eab148b36f55064eedadf2f5f8ea6c531102,25/06/2023 22:58:09,ESCANER
6449,"Chimaltenango",3,"Patzún",7,683,380,6,55,0,2,11,6,3,0,1,57,0,0,111,1,2,255,10,4,269,0,269,--,380,111,255,269,269,Algún campo sin dato,1,f67549eebd7d6a1fa305dc066140b157ff132e9f75d7a1477ffd8340a5e2b56f,25/06/2023 23:26:04,ESCANER
6450,"Chimaltenango",3,"Patzún",7,683,380,5,79,2,0,6,8,6,0,1,38,1,0,106,0,4,256,14,6,276,0,276,0,380,104,256,276,276,,1,93565a5936c2e91acc60487ee5cec0d0f0e6b9bdfe567df0ad53d629fe373627,25/06/2023 23:36:58,ESCANER
6451,"Chimaltenango",3,"Patzún",7,683,380,14,55,5,2,8,6,3,1,0,30,1,2,118,0,1,246,6,3,255,0,255,0,376,121,246,255,255,,1,4c3be93e9193300b56a10338f1fcdc990809b9729e173fdcf276db4dd284eb30,25/06/2023 22:18:23,ESCANER
6452,"Chimaltenango",3,"Patzún",7,683,380,6,73,3,2,18,3,3,0,0,35,0,0,93,0,3,239,12,3,254,0,254,0,380,126,239,254,254,,1,883285cf6d9cd8c8ba3f269795c0cf67d633706540c5dec263519389df27d4d8,25/06/2023 23:57:24,ESCANER
6453,"Chimaltenango",3,"Patzún",7,683,380,7,78,0,0,7,8,5,2,0,46,0,0,103,1,4,261,11,4,276,0,276,--,380,104,261,276,276,Algún campo sin dato,1,ef7eb1fec3f20741784480ad413b30e152014e0a9830109b7a208f5115b3e1ec,25/06/2023 23:17:12,ESCANER
