TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
83,83,100.0000,83,100.0000,0,31423,21053,66.9986

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VALOR,AZUL,VAMOS,UNE,CABAL,VIVA,PODEMOS,PR,TODOS,FCN-NACION,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7639,"Escuintla",5,"Masagua",5,863,400,39,2,71,37,84,8,0,0,0,1,1,243,23,3,269,0,400,--,400,131,243,269,269,Sumas Asentadas sin cuadrar,1,acd78d3c230da0d64de1b3c12e8c62d4354e3aecf43d9c8084fc17d36ebbc227,26/06/2023 02:04:58,ESCANER
7640,"Escuintla",5,"Masagua",5,863,400,24,5,87,31,57,6,1,1,3,1,2,218,20,3,241,0,241,--,400,159,218,241,241,Algún campo sin dato,1,6e10c612f4ad1248d59907abe58ed6f9f81a7ec00fc84ee7f33aba41aa7d29aa,26/06/2023 03:18:34,ESCANER
7641,"Escuintla",5,"Masagua",5,863,400,27,3,75,30,66,7,1,0,2,2,2,215,19,3,237,1,238,1,400,162,215,237,238,,1,f5d5c2b4219afd01b0741817f2bd1e9b34fe48ff4e71e5ccba5694beee268709,26/06/2023 01:16:50,ESCANER
7642,"Escuintla",5,"Masagua",5,863,400,19,2,78,39,76,7,0,1,2,0,3,227,14,0,241,0,241,2,400,159,227,241,241,,1,201e1663f3cd4743d63f52733777cff1f7b08207859c6b1907b11715a15f718c,26/06/2023 01:34:37,ESCANER
7643,"Escuintla",5,"Masagua",5,863,400,28,4,77,30,65,7,0,2,0,1,1,215,14,2,231,11,242,11,397,155,215,231,242,,1,90191ca7af0c54e00fd623bc11814ce1ee29dfdbedd27fd97a3612540a5feaae,25/06/2023 23:50:18,ESCANER
7644,"Escuintla",5,"Masagua",5,863,400,35,4,71,33,77,3,0,1,3,2,2,231,12,0,243,0,243,--,400,157,231,243,243,Algún campo sin dato,1,7d55eb99a5a08fb3efba6a6fd5bc6f0d075051fee56753e199a0dd4b2008b8fc,25/06/2023 22:34:45,ESCANER
7645,"Escuintla",5,"Masagua",5,863,400,23,1,108,22,75,3,0,0,2,1,1,236,7,0,243,0,243,0,400,157,236,243,243,,1,4ca0ea8104787f7253faa6e4184b3a55dd9745d554808aeae6ab7f3748b00535,25/06/2023 23:15:40,ESCANER
7646,"Escuintla",5,"Masagua",5,863,400,31,1,104,47,69,6,0,0,2,0,0,260,10,1,271,0,271,--,271,126,260,271,271,Algún campo sin dato,1,51cb789bcab4fb6651171abe3fcbbee9901eb94a53f686ec5e2b9bd474b0a189,26/06/2023 01:39:09,ESCANER
7647,"Escuintla",5,"Masagua",5,863,400,39,1,86,35,52,9,0,0,3,0,0,228,7,0,--,--,235,2,400,163,225,232,232,Sumas Asentadas sin cuadrar,1,291f3782f49cd7995f9bde3006dc57606d3cab2a9f108a26d0e66a511eea5065,25/06/2023 22:56:45,ESCANER
7648,"Escuintla",5,"Masagua",5,863,338,22,1,53,19,40,6,0,0,1,0,1,143,8,1,152,0,152,9,338,177,143,152,152,,1,04724dcd6b49a9053e2f66ef795eb4834718ce3680bfe3dc78604bbe704d8437,26/06/2023 00:08:36,ESCANER
