TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
58,58,100.0000,58,100.0000,0,22003,12952,58.8647

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,VAMOS,U R N G - MAIZ,SEMILLA,ELEFANTE,VIVA,UNE,VALOR,PHG,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15330,"Huehuetenango",13,"San Pedro Necta",6,2229,400,90,40,0,2,8,0,6,6,1,0,153,2,9,164,0,164,--,400,236,153,164,164,Algún campo sin dato,1,c564207296f1b8967ebb6096ec226ce238169e17dc12affa213a46626da2c121,25/06/2023 23:26:34,ESCANER
15331,"Huehuetenango",13,"San Pedro Necta",6,2229,400,81,37,1,1,7,1,1,10,0,0,139,1,3,143,0,143,--,400,257,139,143,143,Algún campo sin dato,1,5b735bad095f207af5fb0dd8235213ec8a0bc9c5f6fd4a97a56bbafc1fa07456,25/06/2023 20:58:32,ESCANER
15332,"Huehuetenango",13,"San Pedro Necta",6,2229,400,96,46,0,0,2,0,2,7,0,0,153,0,1,154,0,154,--,400,246,153,154,154,Algún campo sin dato,1,7529f5ff20c19a54f6d4794b2ac0fb2ab871de22defd8c6005271c0e829b7c87,26/06/2023 00:14:36,ESCANER
15333,"Huehuetenango",13,"San Pedro Necta",6,2229,212,43,20,0,1,1,0,1,5,0,0,71,1,1,73,0,73,--,212,139,71,73,73,Algún campo sin dato,1,875947abd4f4cd6d628ee9cea13c1e3626e42b60240f1e98095b62712596827a,25/06/2023 21:37:05,ESCANER
15334,"Huehuetenango",13,"San Pedro Necta",6,2229,211,34,14,0,1,1,0,0,4,0,0,54,1,3,58,0,58,--,211,153,54,58,58,Algún campo sin dato,1,aa9baf5b209a3df78054e386fc8c93741d40aec77db475f638ae1917a8ce37e6,25/06/2023 21:18:10,ESCANER
15335,"Huehuetenango",13,"San Pedro Necta",6,2230,400,101,86,3,1,0,1,19,15,0,0,226,22,17,265,0,265,--,400,135,226,265,265,Algún campo sin dato,1,0bcdbdbd038120cc19940fe637daf6f696e45a10b3d0cc5e24863a542e05eee8,26/06/2023 00:00:06,ESCANER
15336,"Huehuetenango",13,"San Pedro Necta",6,2230,400,123,84,1,2,1,3,5,21,7,2,234,24,5,263,0,263,--,400,137,249,278,278,Sumas Asentadas sin cuadrar,1,5fbb950471c0a6168b383ac8df3ac59211a6c7fc1a1e2fff41b6afebfeee5252,26/06/2023 02:26:33,ESCANER
15337,"Huehuetenango",13,"San Pedro Necta",6,2230,400,98,66,1,0,0,0,13,22,0,0,200,22,3,225,0,225,--,400,175,200,225,225,Algún campo sin dato,1,82f8bf7a985cc8ab8e0044ab7e86018340b3bd7e9ab33977d1c014af94432734,25/06/2023 22:35:11,ESCANER
15338,"Huehuetenango",13,"San Pedro Necta",6,2230,288,76,57,0,1,0,0,3,18,0,0,155,5,0,160,0,160,--,288,128,155,160,160,Algún campo sin dato,1,01c36d17300562fce3e71f46901278e4a1cf8956b3b88e8d0f73ed109b09e5d6,25/06/2023 23:31:15,ESCANER
15339,"Huehuetenango",13,"San Pedro Necta",6,2230,287,77,33,1,0,0,3,5,11,0,0,130,7,3,140,0,140,--,287,147,130,140,140,Algún campo sin dato,1,5536924558c89bdda92e523dc1b6b062a220dd4b162022ccddfbae5e4e7e0c9d,25/06/2023 22:40:17,ESCANER
15340,"Huehuetenango",13,"San Pedro Necta",6,2231,400,113,107,1,1,2,2,11,8,0,0,245,3,6,254,7,261,--,400,139,245,254,261,Algún campo sin dato,1,14e70f03cf38ec4a76c902ab07c3415f01c0468e7f22504774f687d62875972c,26/06/2023 01:00:10,ESCANER
15341,"Huehuetenango",13,"San Pedro Necta",6,2231,400,111,89,1,1,0,1,11,32,2,0,248,21,2,271,0,271,--,400,129,248,271,271,Algún campo sin dato,1,3f2edea37ee8d86bbaacd7b671c1ece7f56dc024400cea6f86f3accfcf933e71,25/06/2023 23:09:03,ESCANER
15342,"Huehuetenango",13,"San Pedro Necta",6,2231,400,107,73,5,1,0,1,12,19,1,0,219,20,3,242,0,242,--,400,158,219,242,242,Algún campo sin dato,1,8af80f087be48ec8fdbea90de83d539403715b92048e6d441e31ed5460d10b0a,26/06/2023 00:11:37,ESCANER
15343,"Huehuetenango",13,"San Pedro Necta",6,2231,316,62,63,0,0,0,0,10,14,0,0,149,4,3,156,0,156,--,316,160,149,156,156,Algún campo sin dato,1,6c5dd6e5dca4abc17bb71af856ebb858411d33f3e9e7730686e9f538852e87b2,25/06/2023 23:34:46,ESCANER
15344,"Huehuetenango",13,"San Pedro Necta",6,2231,316,63,72,0,1,1,0,6,13,0,0,156,3,0,159,0,159,--,317,158,156,159,159,Algún campo sin dato,1,a85fdca66a5154790788edb2e6cb523b842cf8f96aee149fa659e61653f755d8,25/06/2023 23:03:41,ESCANER
15345,"Huehuetenango",13,"San Pedro Necta",6,2232,489,46,33,1,1,2,2,7,7,0,0,99,8,4,111,0,111,--,489,378,99,111,111,Algún campo sin dato,1,499e621dd65686356e2c2ba102304f706f366dac313ea898a79282a0957e5a5a,25/06/2023 22:24:47,ESCANER
