TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
73,72,98.6301,72,98.6301,0,26956,14463,53.6541

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,MLP,UNE,VALOR UNIONISTA,BIEN,VIVA,CABAL,AZUL,P A N,PHG,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
8351,"Santa Rosa",6,"Cuilapa",1,975,400,146,1,30,23,5,0,3,2,7,2,0,219,11,3,233,0,233,--,400,167,219,233,233,Algún campo sin dato,1,a3e02cc44fd95168d2e26a783c5ea1813b2fbe42676988288784dddc0aa2434f,25/06/2023 23:51:33,ESCANER
8352,"Santa Rosa",6,"Cuilapa",1,975,400,130,4,45,15,9,1,8,3,3,0,1,219,11,2,232,0,232,--,403,171,219,232,232,Algún campo sin dato,1,0b6a34c36d31293562c3e235e4cc747f0f089fac779b7ceda7f26e83eaf311d8,26/06/2023 01:21:44,ESCANER
8353,"Santa Rosa",6,"Cuilapa",1,975,400,145,2,44,10,5,0,5,2,3,1,2,219,9,0,228,0,228,--,400,172,219,228,228,Algún campo sin dato,1,ad9f83792b5f8e1aecdf991555b026e0e59986e4b6f327cf33b58b5be4a864af,25/06/2023 23:46:33,ESCANER
8354,"Santa Rosa",6,"Cuilapa",1,975,344,84,1,25,4,5,0,3,0,1,0,0,123,8,1,132,1,133,--,341,208,123,132,133,Algún campo sin dato,1,39d51ff0f316415905d44cbf15e0639a0922bac8ae5d3663c9819a641a4cbb78,25/06/2023 23:26:47,ESCANER
8355,"Santa Rosa",6,"Cuilapa",1,975,343,76,3,32,6,1,0,2,4,3,0,2,129,9,2,140,0,140,--,343,203,129,140,140,Algún campo sin dato,1,7ed439a5f1d1a11bb330bd4ee6320b9e49d5ea94e69631acd3b8c46c5d6c1dd1,26/06/2023 00:03:36,ESCANER
8356,"Santa Rosa",6,"Cuilapa",1,976,400,108,0,68,12,3,5,9,2,10,2,0,219,18,2,0,0,239,--,398,159,219,239,239,Algún campo sin dato,1,9051862b4df614e51c61294efa05ee3ce1596a3410204310343057ee1c26e985,26/06/2023 02:31:54,ESCANER
8357,"Santa Rosa",6,"Cuilapa",1,976,400,109,1,100,8,4,5,10,4,1,2,1,245,17,2,264,0,264,--,400,136,245,264,264,Algún campo sin dato,1,7ae10cd97f42cac8a55ea72af387318fca049ee03fa38aabd0e59133719c4f7d,26/06/2023 01:57:10,ESCANER
8358,"Santa Rosa",6,"Cuilapa",1,976,400,74,0,102,7,3,3,5,3,4,2,1,204,14,3,221,0,221,--,400,179,204,221,221,Algún campo sin dato,1,7fca742644003d1f88fb218096560dbd9577ac58cf5e4b4ee1bf1796d8bc0900,26/06/2023 00:39:06,ESCANER
8359,"Santa Rosa",6,"Cuilapa",1,976,400,100,2,63,11,5,6,4,2,1,0,0,194,18,1,213,1,214,--,390,176,194,213,214,Algún campo sin dato,1,d0580575af95c4e31ed6b235c4de240aa895f35b3ecd5a6b629d0d7fce69ad06,26/06/2023 01:35:57,ESCANER
8360,"Santa Rosa",6,"Cuilapa",1,976,240,53,0,35,4,2,0,3,2,2,0,0,101,4,1,106,0,106,--,240,134,101,106,106,Algún campo sin dato,1,b515115cf341173aebe101a5ae081c2b467d0bc1ab634d5205d67d8612261e4f,26/06/2023 00:51:22,ESCANER
