TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
106,106,100.0000,105,99.0566,1,39107,26983,68.9978

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,UNE,VALOR,CABAL,VIVA,UR,ELEFANTE,VOS,MLP,VICTORIA,PODEMOS,PPN,CAMBIO,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21587,"Izabal",18,"El Estor",3,3349,380,164,1,78,3,9,3,0,0,2,0,0,0,1,0,0,261,4,1,266,0,266,--,380,114,261,266,266,Algún campo sin dato,1,f058dc34b0901c597ca0914acfa5ee6f2163eb2b402f5a8d6675aff932dde6c9,26/06/2023 01:17:30,ESCANER
21588,"Izabal",18,"El Estor",3,3349,380,171,0,74,1,12,6,0,0,3,1,0,0,1,2,0,271,1,0,272,0,272,--,380,108,271,272,272,Algún campo sin dato,1,3e0fa885c4c92bc402ddd3ff5688ab0e935c068edc9c2a025681f6eb1a12fea6,26/06/2023 00:01:31,ESCANER
21589,"Izabal",18,"El Estor",3,3349,352,169,2,60,4,9,2,0,0,1,1,0,0,0,0,0,248,1,0,249,0,249,--,353,104,248,249,249,Algún campo sin dato,1,1e90663fe0a7de7d8b1b42e6ca61938b993a7e009f1757c8cd2a5787c85d1329,26/06/2023 02:06:44,ESCANER
21590,"Izabal",18,"El Estor",3,3349,352,128,0,75,4,9,3,0,0,3,1,2,0,0,3,0,228,1,0,229,0,229,--,352,123,228,229,229,Algún campo sin dato,1,f2bd93613721d5490a7900cd9e54b14f3204653e3d17942683df01378e84b344,26/06/2023 00:16:48,ESCANER
21591,"Izabal",18,"El Estor",3,3350,380,63,8,103,7,34,6,0,1,0,11,0,0,12,7,0,252,20,3,275,0,275,--,377,102,252,275,275,Algún campo sin dato,1,59b390211375f0f11b0658e990e73424c051c0dda50575f8c3c80717b20e8742,26/06/2023 00:55:30,ESCANER
21592,"Izabal",18,"El Estor",3,3350,380,86,3,94,8,41,1,0,6,0,6,0,0,8,9,2,264,13,1,278,0,278,--,380,102,264,278,278,Algún campo sin dato,1,8a3a984cdae90579c7d9c80447a8fed08e3c75015e3448e258511eb83ae70f32,26/06/2023 01:11:19,ESCANER
21593,"Izabal",18,"El Estor",3,3350,380,49,1,90,4,53,3,0,0,3,7,0,0,18,7,0,235,11,1,247,0,247,--,380,133,235,247,247,Algún campo sin dato,1,2e5be76dfd8d0d66187ad0371f2d2c6f81ae92cbde494876afb1a9455945b047,26/06/2023 00:20:20,ESCANER
21594,"Izabal",18,"El Estor",3,3350,380,59,2,77,5,55,0,4,0,3,11,0,0,16,5,0,237,18,7,262,0,262,1,380,117,237,262,262,,1,41caf839a394cc092372cc2602065cfd8cb4e99b137d23d0945b1e66216aaaf1,26/06/2023 00:35:56,ESCANER
21595,"Izabal",18,"El Estor",3,3350,380,49,4,69,9,45,0,1,0,0,9,0,0,43,1,0,230,28,4,262,0,262,--,380,118,230,262,262,Algún campo sin dato,1,aa2739ab6b9e07228e0d864edd6b0a225c41d31dbf686cc75a10293b12987a07,25/06/2023 23:53:04,ESCANER
21596,"Izabal",18,"El Estor",3,3350,380,49,3,79,5,40,2,1,3,1,10,0,0,20,2,0,215,21,3,239,0,239,--,380,141,215,239,239,Algún campo sin dato,1,8bd1b8d2e79563732ea0c9d2883bedb5a806c837435d36ec6824335b325ce032,26/06/2023 00:07:54,ESCANER
